id,chain_len,distances,halstead_difficulty,halstead_effort
gkNsqtTiwmCq6rE9m,3,"[2339, 0]","[0, 9.02, 9.02]","[0, 2113.2110755653207, 2113.2110755653207]"
8vgq8jNWE4tKjhYJ5,23,"[2170, 46, 21, 33, 16, 22, 58, 5, 5, 46, 22, 27, 46, 26, 64, 28, 31, 2, 79, 41, 60, 57]","[0, 3.625, 6.1875, 5.166666666666667, 6.0, 6.0, 6.875, 8.14, 8.14, 8.14, 11.18, 11.18, 10.66, 8.479166666666668, 8.708333333333332, 11.18, 12.6, 13.16, 14.1, 16.96, 16.0, 17.28, 19.72]","[0, 644.967685459964, 1251.5229760224502, 999.339827733931, 1209.4878424420774, 1209.4878424420774, 1442.2199690871405, 1857.8296448453104, 1857.8296448453104, 1857.8296448453104, 2764.7714749420143, 2771.470061411261, 2623.190098215868, 1891.9257645736864, 1958.67194502691, 2797.5554688063758, 3271.845122624232, 3453.0378941000163, 3794.5471363736438, 4794.380479893812, 4474.037399344364, 4901.876226344305, 5816.205917462687]"
4ZRouggouMCwutp7q,9,"[2172, 13, 0, 25, 16, 7, 16, 12]","[0, 4.229166666666666, 4.375, 4.375, 5.333333333333333, 4.520833333333334, 5.166666666666667, 6.0, 6.875]","[0, 780.6199454430125, 813.75, 813.75, 1042.5215072901408, 847.09665085259, 999.339827733931, 1209.4878424420774, 1437.5033891842195]"
C9pbWsWdabtQT47ND,55,"[2169, 25, 11, 17, 10, 7, 34, 18, 2, 6, 20, 40, 16, 11, 13, 2, 2, 14, 2, 35, 16, 29, 13, 13, 18, 1, 26, 2, 9, 26, 30, 2, 22, 8, 6, 86, 91, 20, 9, 1, 35, 18, 8, 2, 0, 1, 23, 7, 53, 7, 7, 0, 7, 7]","[0, 4.229166666666666, 5.8125, 5.76, 5.8125, 6.0, 6.666666666666666, 7.083333333333334, 7.083333333333334, 7.083333333333334, 7.199999999999999, 6.875, 8.14, 8.020833333333332, 7.291666666666666, 8.14, 8.14, 8.14, 8.58, 8.58, 8.75, 8.879999999999999, 9.120000000000001, 9.84, 9.36, 10.5, 10.66, 9.36, 9.36, 9.36, 9.600000000000001, 10.08, 10.08, 11.555555555555555, 12.444444444444443, 11.555555555555555, 10.08, 12.444444444444443, 12.444444444444443, 13.333333333333332, 13.333333333333332, 14.444444444444443, 14.814814814814815, 14.814814814814815, 14.814814814814815, 14.814814814814815, 14.814814814814815, 16.37037037037037, 16.37037037037037, 18.25925925925926, 18.25925925925926, 18.25925925925926, 18.25925925925926, 18.25925925925926, 18.25925925925926]","[0, 780.6199454430125, 1163.5517328446815, 1196.2934296154367, 1163.5517328446815, 1209.4878424420774, 1389.3041505075255, 1495.4433522223055, 1495.4433522223055, 1495.4433522223055, 1574.4777333877832, 1442.2199690871405, 1852.5778089257929, 1764.4957270660166, 1553.6408298806107, 1857.8296448453104, 1857.8296448453104, 1857.8296448453104, 1974.4590055479036, 1974.4590055479036, 1979.9016989416082, 2083.021116947772, 2162.7848774903064, 2357.685027546246, 2225.5440098484305, 2651.8128399807397, 2623.190098215868, 2219.7002690032086, 2219.7002690032086, 2225.5440098484305, 2300.180514679265, 2444.5994581216914, 2444.5994581216914, 3084.1432691779355, 3411.601157869482, 3090.649132564688, 2444.5994581216914, 3418.7132428559876, 3411.601157869482, 3752.2462421590108, 3752.2462421590108, 4121.94562558573, 4311.584088376412, 4311.584088376412, 4311.584088376412, 4311.584088376412, 4311.584088376412, 4912.549646705577, 4921.705370202811, 5596.362692699629, 5605.598374094822, 5614.761045387475, 5614.761045387475, 5614.761045387475, 5614.761045387475]"
hygKcBB4aivg4fFqZ,9,"[2179, 10, 45, 26, 26, 8, 35, 40]","[0, 4.833333333333333, 4.833333333333333, 6.458333333333334, 6.25, 6.458333333333334, 6.458333333333334, 5.625, 6.25]","[0, 924.4859615013204, 924.4859615013204, 1341.3301619675399, 1284.4337503636714, 1341.3301619675399, 1341.3301619675399, 1121.9906584059129, 1284.4337503636714]"
u6BjEJdCMA4h6huTM,20,"[3006, 59, 59, 0, 32, 19, 3, 3, 108, 41, 7, 9, 11, 26, 22, 11, 9, 4, 9]","[0, 34.44444444444444, 38.5, 42.77777777777778, 42.77777777777778, 42.77777777777778, 40.58620689655172, 42.035714285714285, 42.035714285714285, 38.888888888888886, 38.111111111111114, 38.111111111111114, 38.111111111111114, 38.111111111111114, 40.74074074074074, 40.74074074074074, 40.74074074074074, 40.74074074074074, 40.74074074074074, 40.74074074074074]","[0, 12409.327145932002, 14306.23099086932, 16391.964013995836, 16391.964013995836, 16391.964013995836, 16226.340889244662, 16476.326533196614, 16476.326533196614, 14463.293319233659, 14099.32897228663, 14111.926466983896, 14111.926466983896, 14124.464115875011, 15440.772167784173, 15440.772167784173, 15427.218981516904, 15427.218981516904, 15440.772167784173, 15440.772167784173]"
cFEeySp7iXaJDrDLu,3,"[2760, 70]","[0, 30.4, 34.44]","[0, 10112.690234361344, 11868.893349329323]"
8KGv5F6b8ySPofNdJ,68,"[2189, 28, 14, 5, 27, 7, 7, 1, 17, 22, 35, 9, 9, 24, 1, 0, 11, 11, 16, 5, 35, 2, 11, 22, 14, 11, 4, 13, 27, 54, 0, 2, 1, 4, 2, 40, 41, 8, 8, 84, 4, 5, 7, 28, 21, 18, 15, 2, 5, 11, 39, 47, 20, 59, 16, 4, 27, 6, 16, 7, 7, 30, 31, 27, 9, 19, 7]","[0, 4.520833333333334, 4.229166666666666, 3.625, 4.229166666666666, 5.8125, 5.625, 5.58, 5.8125, 6.666666666666666, 7.5625, 10.5, 10.5, 10.5, 10.23076923076923, 10.64, 10.64, 10.64, 10.64, 9.62, 9.62, 10.62962962962963, 11.038461538461538, 11.038461538461538, 11.038461538461538, 11.038461538461538, 11.038461538461538, 10.25, 11.038461538461538, 11.307692307692308, 13.333333333333332, 13.333333333333332, 14.518518518518519, 15.076923076923077, 15.076923076923077, 15.384615384615385, 16.615384615384617, 17.846153846153847, 17.846153846153847, 17.846153846153847, 15.076923076923077, 15.076923076923077, 15.384615384615385, 15.384615384615385, 14.134615384615385, 15.076923076923077, 15.076923076923077, 14.76923076923077, 15.076923076923077, 14.76923076923077, 14.76923076923077, 16.0, 17.23076923076923, 17.653846153846157, 19.615384615384613, 19.942307692307693, 19.942307692307693, 19.288461538461537, 19.288461538461537, 18.961538461538463, 18.961538461538463, 18.961538461538463, 20.769230769230766, 21.46153846153846, 19.615384615384613, 19.615384615384613, 19.615384615384613, 19.615384615384613]","[0, 844.009755796717, 777.5443763600675, 644.967685459964, 777.5443763600675, 1159.3903470194434, 1113.75, 1146.742452324686, 1159.3903470194434, 1384.5988768697182, 1633.102023819262, 2522.449309860058, 2515.2085185226642, 2522.449309860058, 2601.705897274477, 2638.1297798363203, 2638.1297798363203, 2645.38636243172, 2638.1297798363203, 2311.0440343670243, 2317.595567054503, 2815.115994685373, 2852.087499306007, 2859.285376442086, 2859.285376442086, 2852.087499306007, 2859.285376442086, 2588.6744390288177, 2859.285376442086, 2950.657253970403, 3744.440295222602, 3744.440295222602, 4191.67860910297, 4251.666853955963, 4251.666853955963, 4356.02482198228, 4777.098903243645, 5203.681641540427, 5203.681641540427, 5203.681641540427, 4251.666853955963, 4251.666853955963, 4356.02482198228, 4364.696539859472, 3891.0343975936266, 4260.326244766481, 4260.326244766481, 4164.89814265074, 4260.326244766481, 4156.334299006905, 4164.89814265074, 4583.160262743007, 5015.721297830126, 5224.720225586719, 5923.097159219768, 6040.703426467555, 6050.040366950645, 5805.826923076923, 5815.138851906721, 5688.898349933644, 5688.898349933644, 5679.525425021215, 6427.466558328069, 6692.745679937627, 5941.675501443495, 5941.675501443495, 5932.421785527549, 5932.421785527549]"
2u3JjLAqANNhYCr6j,49,"[2471, 126, 10, 13, 1, 19, 1, 8, 8, 18, 1, 108, 2, 26, 102, 6, 10, 26, 6, 2, 30, 1, 28, 6, 7, 108, 11, 0, 22, 4, 88, 2, 6, 34, 4, 5, 72, 6, 4, 28, 4, 23, 1, 0, 89, 12, 90, 8]","[0, 18.56, 19.72, 19.72, 18.56, 18.56, 19.72, 19.72, 19.72, 19.72, 18.56, 18.56, 18.56, 18.56, 17.92, 18.56, 18.56, 18.56, 17.92, 17.92, 17.92, 18.961538461538463, 19.72, 19.72, 19.72, 19.72, 17.98076923076923, 17.92, 17.92, 17.92, 17.92, 18.56, 18.56, 18.56, 19.38, 19.38, 17.92, 17.23076923076923, 19.38, 19.38, 19.203703703703702, 18.88888888888889, 18.88888888888889, 18.88888888888889, 18.88888888888889, 17.92, 17.92, 19.72, 18.56]","[0, 5255.867467634258, 5710.563864282171, 5710.563864282171, 5237.416054842387, 5237.416054842387, 5710.563864282171, 5710.563864282171, 5720.563066906799, 5710.563864282171, 5237.416054842387, 5237.416054842387, 5246.680525166812, 5246.680525166812, 5029.518450229852, 5264.978169036475, 5255.867467634258, 5255.867467634258, 5029.518450229852, 5038.6957967401295, 5038.6957967401295, 5621.663144783274, 5710.563864282171, 5710.563864282171, 5720.563066906799, 5730.47928764031, 5283.006596528719, 5038.6957967401295, 5038.6957967401295, 5038.6957967401295, 5038.6957967401295, 5246.680525166812, 5246.680525166812, 5255.867467634258, 5582.122210794038, 5592.202067152108, 5029.518450229852, 4954.028492252668, 5592.202067152108, 5592.202067152108, 5876.0383194505985, 5760.2128094411555, 5760.2128094411555, 5760.2128094411555, 5760.2128094411555, 5029.518450229852, 5038.6957967401295, 5710.563864282171, 5246.680525166812]"
9fm5gvWbokWhpBKqB,18,"[2144, 837, 3, 61, 0, 0, 0, 0, 0, 61, 61, 6, 5, 24, 24, 11, 11]","[0, 2.8125, 42.01923076923077, 43.239999999999995, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 43.239999999999995, 48.0, 48.0, 48.0, 48.0, 48.0, 47.04, 48.0]","[0, 475.7450917803117, 15826.061133516754, 15938.914536125541, 18255.168498709416, 18255.168498709416, 18255.168498709416, 18255.168498709416, 18255.168498709416, 18255.168498709416, 15938.914536125541, 18255.168498709416, 18255.168498709416, 18255.168498709416, 18255.168498709416, 18255.168498709416, 17843.771744975187, 18255.168498709416]"
