id,chain_length,derivation_chain
gkNsqtTiwmCq6rE9m,3,"['cAjaq3y2tWFKB36XQ', 'zeSyP7pEphnYFzQJt', 'gkNsqtTiwmCq6rE9m']"
8vgq8jNWE4tKjhYJ5,23,"['9jPK8KBWzjFmBx4Hb', 'rjZBB22au4p7u2R2A', 'uiY7mXWA5fBvhHLES', 'TWnMrBhHJobbkqx4Z', 'm2vFmD2izRcxgdRkY', '5kRcDZ5dp87nycpfW', 'o7MJDnzoCTDTeSyb2', 'wxuJ3nWaubKfXKAEf', 'F9sn5MC8TPo8xMtgq', 'eAqbwgBBn8Svcxb2Q', '5jfGoyNCdqk5P4QAc', 'YPWWvNPemRmKXvMfz', '6F4dYJTR9YYZXvthB', 'x8eauYSyoxcWok2k6', 'vFqqfxh6e3huwaa8E', 'o47ycp7SKFdiSLZnH', 'nv8Qbu5DCast97byo', 'wbqA5TB78HXEtHYEz', 'fHQiNMJvmAKG3zsdQ', 'H9hdkzFnqiB2GWjYj', 'y86LpqDDS6edbhJ6J', '9iJJJS2Dx7yMf4LvZ', '8vgq8jNWE4tKjhYJ5']"
xkuuzm3We6L5nhycr,2,"['9jPK8KBWzjFmBx4Hb', 'xkuuzm3We6L5nhycr']"
4ZRouggouMCwutp7q,9,"['9jPK8KBWzjFmBx4Hb', 'Tv65qxvexuHKykxCg', 'LBCraKMA36KY6LLhe', 'uCK5xTfbs8NDgXGpM', 'Q37RBHECSPCZftF4s', '3greanxbMFneGajJ8', 'MgMGFtHWZhu6yojzJ', 'c6snpZKiJz7BxE98B', '4ZRouggouMCwutp7q']"
C9pbWsWdabtQT47ND,55,"['9jPK8KBWzjFmBx4Hb', 'mwsXXQ5rBsQwFKXAP', '7Y6ChH9wf3Emo5fkv', 's7nRD8kGWzYtfKL4t', '5GZQuves787L9xSF3', 'bhAPWDe4EfANRuDK7', 'iF5doTNKWPxTxob6S', 'FLSEcBqrTDauBNhbn', '72PuX2nWiRNRY9eTr', '6Ajppa99Ej6juzG6j', 'zBEdSbRkvxNemTiE2', 'xMoKq8pjF3BrBgFmQ', 'iBLBzEQmsxwitqS8n', 'yBMqPquSFFc8aPcxu', 'vsyD3njZXp7LYz2eh', 'qzEsSEGRKt4yyzon8', 'rKSD3ukGqeRYvtvsc', 'bQcXdGbhQt9GPBQkT', 'dYyED3T7AHpqhYxXi', 'QSe74r7is3KwdXz6Y', 'WEtabbFXd2RkdsBWc', 'ftHM5sN33NTFRrY6N', 'YSpMccYBvWo9uAGo5', 'Ts39Xcr3545MDQQHT', 'KxwvMZXGbh8kMTFWa', 'fHDafwvCS4AshrBh9', 'WvkXnrFFB7cfx3mS6', 'qrseory3n7Ay39gj5', 'XbJAYv8CRQYuFPSj8', 'EG5tZo4etux2meYBP', 'avenjyP6Xrf3thZfR', 'sef9QCR7RXhDBLaLR', 'X2hLCQ6ArWwq6B2rZ', '4hmgr56t2cdKcLDp5', 'ja8Nj6x4sAmkPi6xw', '5HqB5RXyNKpKTmNpm', 'Q3S9iAmPRBTZMjDPP', 'JFhu6SRXybNAT83Xb', 'rgfnuu857wRHv3gcW', 'rQ4HPkQawLrfmqZJw', 'eTZJN9AJuson2o4kc', 'GnpvadPLkrw59g88f', 'dtdwPoK7K3DeH7vvS', 'yhn4FrKG6Dc7b2NaH', 'PLJJw9fsM5TRMQiy6', 'pPKgA5xWwz6FNE442', 'fdw8usza7C75rjjTy', 'CxuXt6xsJsxqXqko3', 'tQGrTvBDJoM2wW35j', 't6u9syAHXoZzZTyPN', 'AL42hF2jLKb2C4dDG', 'QEtsLM2wmGAggiD6u', 'Mg43ihRTaSvKZS6uY', 'C2EQQSvgJwHBRqZCZ', 'C9pbWsWdabtQT47ND']"
ZmFER5FDLgzK4h4Be,2,"['9jPK8KBWzjFmBx4Hb', 'ZmFER5FDLgzK4h4Be']"
hygKcBB4aivg4fFqZ,9,"['9jPK8KBWzjFmBx4Hb', 'DrFLaaABkgDK67MaY', 'EsJ7TwYhKYyjPDKby', 'D4BBTgJJCNkewxSRs', 'DjFjw6s6go6dHYM8w', 'rZWJX4BtMQh2Pz4zt', 'xTYaHMPxQntzGM7W3', 'JCRsPuhQPucq53r95', 'hygKcBB4aivg4fFqZ']"
u6BjEJdCMA4h6huTM,20,"['9jPK8KBWzjFmBx4Hb', 'HcdGm6W8JcZkLJeQK', 'a856DAXQqEic5BG3k', 'MrieKkxj52sFLSQLH', 'vXNwkB6WWMzeD8EFu', 'fpvGbnX62DGiAtSNb', 'HC89FHAKZDYho7Jck', 'YvHtpZkqFdM6YgvJD', 'JhTLennjpWqJzpjXx', '5fddLLrSqEH8FrKm8', 'Deek2toL5cfNDPoEb', 'DTgud25MXA99KF92o', 'f7ugMHLMxoev3SAdy', 'B6DPJLY83KeMav9xq', 'whJosMNYKx7RZQv78', 'TaMMv2pd4iZY5GCFM', 'F4P7B9ALZD2fD492k', 'peG2yeaL9HSbQkYB3', '9D2oWmuvjEuWHvZzP', 'u6BjEJdCMA4h6huTM']"
cFEeySp7iXaJDrDLu,3,"['Wp65XgLwyLp8wR6jx', 'ff2eoxf9vNAg2zBMf', 'cFEeySp7iXaJDrDLu']"
8KGv5F6b8ySPofNdJ,68,"['9jPK8KBWzjFmBx4Hb', 'CCt6wniT5St2hKKFr', '5ZNvaTddSLXNkdJHZ', 'rQiHpZRTeqjuLPZ6K', 'Pa2KH2EWJDCXoDgX9', 'BRrc8uxs3Qxxg6qT3', 'nmv8XaFnZGRYnMBSL', 'sP2i3NkvtasnrfTRG', 'ZGknyF5y8szdBMMCH', 'dBuBJPqgKQCJFoxTJ', 'bq9gMADR7vDF7guwE', 'kXBF3YeytfmtD9PyP', 'sonwyFZWd4d5Lszvz', 'uWYagensDGZWSQCvm', 'kn7x3fNcZdNtDMFyL', 'mJ7wH9yLtT8Lka7vb', 'yQFQAnD8SRa5ERwYP', 'L4wqWr8nEgYEaifyL', 'HruoCi8sNAkdzZHoD', '8ZNJ6xH6YBJNRkauc', 'KbBLZrZpvr5cNERxk', 'XX7mpztNhCiKrKNLv', 'GCBrtYHMvAP5LjkqC', 'pZ55SCfnvnvxqBsSw', 'se8FtoMA6YA45RvS3', 'JnSQ9G5jFfbaNp7tL', 'vyw2XopD7vcJcnc7f', 'Sai5yddEch6sXbkdX', 'PP9b2iBuf9YLnWH4r', 'uSWrSu6metjLGNdqq', 'ru23KMW6KGfC5ompq', 'v8s8zHF23oXjYshoY', 'v6NEfQeanjGnFoHQC', 'queSmDyZsr8DrmiKD', 'fTNafCfF2w3uyDRZQ', 'w7hDXrSYsBTQE4krr', 'XEgzhuDSMpMgs4QpR', 'jBZj8RgyzWcPha7Pr', 'WwWgojCbcpxE8Dzdg', 'XnWCY5pguntPZLdy3', 'iie5jfpxcNG2hzzWJ', '9m3fkxPEDth5ZXjTb', 'g8kDRhCC7RZTrrZs8', 'nGEja83thZ3dYPz5n', 'W9XgvTM6BzKHCBgec', 'jkGrShmYcgR9kXb6s', 'fywZQfK9cxcWqvS2d', 'yu5CM9hFEBZpT5FsB', 'Se5XatvSe96mZtW2f', 'SeqiRJMDbbScpoLJT', 'sf7FTJphEwrJMkhwG', 'PYqaAx5d4ZM3HKnqX', 'TwkrW3ojtZrkAF8vg', 'Af5JJu77fAMFkG6Aa', 'tLQ54wjBvLigTpjXG', 'ocFmyKuMYwdCFrNyw', 'ewRiam5ydn7ToBsrN', 'PLGTpdePL4dNSihy6', 'CdTzoJxxiKvgiiCmT', 'tBEDEdQB8yzMb7Hji', 'bm6b83yckqd2pafKA', 'TcrPbLJRhH85SA3RP', 'pxFWPyYscfCc9Hgwe', '89cbFivxbAddzzs8A', 'jJi5NjmLWdbD3yp6n', 'BFbBhR5bNHPQMhKJm', 'Zd6gAjWtyGHZWT5zD', '8KGv5F6b8ySPofNdJ']"
