id,chain_length,derivation_chain
gkNsqtTiwmCq6rE9m,3,gkNsqtTiwmCq6rE9m -> zeSyP7pEphnYFzQJt -> cAjaq3y2tWFKB36XQ
8vgq8jNWE4tKjhYJ5,23,8vgq8jNWE4tKjhYJ5 -> 9iJJJS2Dx7yMf4LvZ -> y86LpqDDS6edbhJ6J -> H9hdkzFnqiB2GWjYj -> fHQiNMJvmAKG3zsdQ -> wbqA5TB78HXEtHYEz -> nv8Qbu5DCast97byo -> o47ycp7SKFdiSLZnH -> vFqqfxh6e3huwaa8E -> x8eauYSyoxcWok2k6 -> 6F4dYJTR9YYZXvthB -> YPWWvNPemRmKXvMfz -> 5jfGoyNCdqk5P4QAc -> eAqbwgBBn8Svcxb2Q -> F9sn5MC8TPo8xMtgq -> wxuJ3nWaubKfXKAEf -> o7MJDnzoCTDTeSyb2 -> 5kRcDZ5dp87nycpfW -> m2vFmD2izRcxgdRkY -> TWnMrBhHJobbkqx4Z -> uiY7mXWA5fBvhHLES -> rjZBB22au4p7u2R2A -> 9jPK8KBWzjFmBx4Hb
xkuuzm3We6L5nhycr,2,xkuuzm3We6L5nhycr -> 9jPK8KBWzjFmBx4Hb
4ZRouggouMCwutp7q,9,4ZRouggouMCwutp7q -> c6snpZKiJz7BxE98B -> MgMGFtHWZhu6yojzJ -> 3greanxbMFneGajJ8 -> Q37RBHECSPCZftF4s -> uCK5xTfbs8NDgXGpM -> LBCraKMA36KY6LLhe -> Tv65qxvexuHKykxCg -> 9jPK8KBWzjFmBx4Hb
C9pbWsWdabtQT47ND,55,C9pbWsWdabtQT47ND -> C2EQQSvgJwHBRqZCZ -> Mg43ihRTaSvKZS6uY -> QEtsLM2wmGAggiD6u -> AL42hF2jLKb2C4dDG -> t6u9syAHXoZzZTyPN -> tQGrTvBDJoM2wW35j -> CxuXt6xsJsxqXqko3 -> fdw8usza7C75rjjTy -> pPKgA5xWwz6FNE442 -> PLJJw9fsM5TRMQiy6 -> yhn4FrKG6Dc7b2NaH -> dtdwPoK7K3DeH7vvS -> GnpvadPLkrw59g88f -> eTZJN9AJuson2o4kc -> rQ4HPkQawLrfmqZJw -> rgfnuu857wRHv3gcW -> JFhu6SRXybNAT83Xb -> Q3S9iAmPRBTZMjDPP -> 5HqB5RXyNKpKTmNpm -> ja8Nj6x4sAmkPi6xw -> 4hmgr56t2cdKcLDp5 -> X2hLCQ6ArWwq6B2rZ -> sef9QCR7RXhDBLaLR -> avenjyP6Xrf3thZfR -> EG5tZo4etux2meYBP -> XbJAYv8CRQYuFPSj8 -> qrseory3n7Ay39gj5 -> WvkXnrFFB7cfx3mS6 -> fHDafwvCS4AshrBh9 -> KxwvMZXGbh8kMTFWa -> Ts39Xcr3545MDQQHT -> YSpMccYBvWo9uAGo5 -> ftHM5sN33NTFRrY6N -> WEtabbFXd2RkdsBWc -> QSe74r7is3KwdXz6Y -> dYyED3T7AHpqhYxXi -> bQcXdGbhQt9GPBQkT -> rKSD3ukGqeRYvtvsc -> qzEsSEGRKt4yyzon8 -> vsyD3njZXp7LYz2eh -> yBMqPquSFFc8aPcxu -> iBLBzEQmsxwitqS8n -> xMoKq8pjF3BrBgFmQ -> zBEdSbRkvxNemTiE2 -> 6Ajppa99Ej6juzG6j -> 72PuX2nWiRNRY9eTr -> FLSEcBqrTDauBNhbn -> iF5doTNKWPxTxob6S -> bhAPWDe4EfANRuDK7 -> 5GZQuves787L9xSF3 -> s7nRD8kGWzYtfKL4t -> 7Y6ChH9wf3Emo5fkv -> mwsXXQ5rBsQwFKXAP -> 9jPK8KBWzjFmBx4Hb
ZmFER5FDLgzK4h4Be,2,ZmFER5FDLgzK4h4Be -> 9jPK8KBWzjFmBx4Hb
hygKcBB4aivg4fFqZ,9,hygKcBB4aivg4fFqZ -> JCRsPuhQPucq53r95 -> xTYaHMPxQntzGM7W3 -> rZWJX4BtMQh2Pz4zt -> DjFjw6s6go6dHYM8w -> D4BBTgJJCNkewxSRs -> EsJ7TwYhKYyjPDKby -> DrFLaaABkgDK67MaY -> 9jPK8KBWzjFmBx4Hb
u6BjEJdCMA4h6huTM,20,u6BjEJdCMA4h6huTM -> 9D2oWmuvjEuWHvZzP -> peG2yeaL9HSbQkYB3 -> F4P7B9ALZD2fD492k -> TaMMv2pd4iZY5GCFM -> whJosMNYKx7RZQv78 -> B6DPJLY83KeMav9xq -> f7ugMHLMxoev3SAdy -> DTgud25MXA99KF92o -> Deek2toL5cfNDPoEb -> 5fddLLrSqEH8FrKm8 -> JhTLennjpWqJzpjXx -> YvHtpZkqFdM6YgvJD -> HC89FHAKZDYho7Jck -> fpvGbnX62DGiAtSNb -> vXNwkB6WWMzeD8EFu -> MrieKkxj52sFLSQLH -> a856DAXQqEic5BG3k -> HcdGm6W8JcZkLJeQK -> 9jPK8KBWzjFmBx4Hb
cFEeySp7iXaJDrDLu,3,cFEeySp7iXaJDrDLu -> ff2eoxf9vNAg2zBMf -> Wp65XgLwyLp8wR6jx
8KGv5F6b8ySPofNdJ,68,8KGv5F6b8ySPofNdJ -> Zd6gAjWtyGHZWT5zD -> BFbBhR5bNHPQMhKJm -> jJi5NjmLWdbD3yp6n -> 89cbFivxbAddzzs8A -> pxFWPyYscfCc9Hgwe -> TcrPbLJRhH85SA3RP -> bm6b83yckqd2pafKA -> tBEDEdQB8yzMb7Hji -> CdTzoJxxiKvgiiCmT -> PLGTpdePL4dNSihy6 -> ewRiam5ydn7ToBsrN -> ocFmyKuMYwdCFrNyw -> tLQ54wjBvLigTpjXG -> Af5JJu77fAMFkG6Aa -> TwkrW3ojtZrkAF8vg -> PYqaAx5d4ZM3HKnqX -> sf7FTJphEwrJMkhwG -> SeqiRJMDbbScpoLJT -> Se5XatvSe96mZtW2f -> yu5CM9hFEBZpT5FsB -> fywZQfK9cxcWqvS2d -> jkGrShmYcgR9kXb6s -> W9XgvTM6BzKHCBgec -> nGEja83thZ3dYPz5n -> g8kDRhCC7RZTrrZs8 -> 9m3fkxPEDth5ZXjTb -> iie5jfpxcNG2hzzWJ -> XnWCY5pguntPZLdy3 -> WwWgojCbcpxE8Dzdg -> jBZj8RgyzWcPha7Pr -> XEgzhuDSMpMgs4QpR -> w7hDXrSYsBTQE4krr -> fTNafCfF2w3uyDRZQ -> queSmDyZsr8DrmiKD -> v6NEfQeanjGnFoHQC -> v8s8zHF23oXjYshoY -> ru23KMW6KGfC5ompq -> uSWrSu6metjLGNdqq -> PP9b2iBuf9YLnWH4r -> Sai5yddEch6sXbkdX -> vyw2XopD7vcJcnc7f -> JnSQ9G5jFfbaNp7tL -> se8FtoMA6YA45RvS3 -> pZ55SCfnvnvxqBsSw -> GCBrtYHMvAP5LjkqC -> XX7mpztNhCiKrKNLv -> KbBLZrZpvr5cNERxk -> 8ZNJ6xH6YBJNRkauc -> HruoCi8sNAkdzZHoD -> L4wqWr8nEgYEaifyL -> yQFQAnD8SRa5ERwYP -> mJ7wH9yLtT8Lka7vb -> kn7x3fNcZdNtDMFyL -> uWYagensDGZWSQCvm -> sonwyFZWd4d5Lszvz -> kXBF3YeytfmtD9PyP -> bq9gMADR7vDF7guwE -> dBuBJPqgKQCJFoxTJ -> ZGknyF5y8szdBMMCH -> sP2i3NkvtasnrfTRG -> nmv8XaFnZGRYnMBSL -> BRrc8uxs3Qxxg6qT3 -> Pa2KH2EWJDCXoDgX9 -> rQiHpZRTeqjuLPZ6K -> 5ZNvaTddSLXNkdJHZ -> CCt6wniT5St2hKKFr -> 9jPK8KBWzjFmBx4Hb
