id,chain_len,distances,halstead_difficulty,halstead_effort
9jPK8KBWzjFmBx4Hb,4,"[5, 5, 95]","[8.14, 8.14, 8.14, 10.66]","[1857.8296448453104, 1857.8296448453104, 1857.8296448453104, 2623.190098215868]"
9jPK8KBWzjFmBx4Hb,3,"[22, 73]","[11.18, 11.18, 8.479166666666668]","[2764.7714749420143, 2771.470061411261, 1891.9257645736864]"
9jPK8KBWzjFmBx4Hb,5,"[25, 16, 7, 16]","[4.375, 5.333333333333333, 4.520833333333334, 5.166666666666667, 6.0]","[813.75, 1042.5215072901408, 847.09665085259, 999.339827733931, 1209.4878424420774]"
9jPK8KBWzjFmBx4Hb,3,"[11, 17]","[5.8125, 5.76, 5.8125]","[1163.5517328446815, 1196.2934296154367, 1163.5517328446815]"
9jPK8KBWzjFmBx4Hb,5,"[18, 2, 6, 20]","[7.083333333333334, 7.083333333333334, 7.083333333333334, 7.199999999999999, 6.875]","[1495.4433522223055, 1495.4433522223055, 1495.4433522223055, 1574.4777333877832, 1442.2199690871405]"
9jPK8KBWzjFmBx4Hb,10,"[16, 11, 13, 2, 2, 14, 2, 35, 16]","[8.14, 8.020833333333332, 7.291666666666666, 8.14, 8.14, 8.14, 8.58, 8.58, 8.75, 8.879999999999999]","[1852.5778089257929, 1764.4957270660166, 1553.6408298806107, 1857.8296448453104, 1857.8296448453104, 1857.8296448453104, 1974.4590055479036, 1974.4590055479036, 1979.9016989416082, 2083.021116947772]"
9jPK8KBWzjFmBx4Hb,8,"[13, 13, 18, 1, 26, 2, 9]","[9.120000000000001, 9.84, 9.36, 10.5, 10.66, 9.36, 9.36, 9.36]","[2162.7848774903064, 2357.685027546246, 2225.5440098484305, 2651.8128399807397, 2623.190098215868, 2219.7002690032086, 2219.7002690032086, 2225.5440098484305]"
9jPK8KBWzjFmBx4Hb,9,"[2, 22, 8, 6, 25, 20, 9, 1]","[10.08, 10.08, 11.555555555555555, 12.444444444444443, 11.555555555555555, 12.444444444444443, 12.444444444444443, 13.333333333333332, 13.333333333333332]","[2444.5994581216914, 2444.5994581216914, 3084.1432691779355, 3411.601157869482, 3090.649132564688, 3418.7132428559876, 3411.601157869482, 3752.2462421590108, 3752.2462421590108]"
9jPK8KBWzjFmBx4Hb,7,"[70, 18, 8, 2, 0, 1]","[10.08, 14.444444444444443, 14.814814814814815, 14.814814814814815, 14.814814814814815, 14.814814814814815, 14.814814814814815]","[2444.5994581216914, 4121.94562558573, 4311.584088376412, 4311.584088376412, 4311.584088376412, 4311.584088376412, 4311.584088376412]"
9jPK8KBWzjFmBx4Hb,3,"[7, 63]","[16.37037037037037, 16.37037037037037, 18.25925925925926]","[4912.549646705577, 4921.705370202811, 5614.761045387475]"
9jPK8KBWzjFmBx4Hb,5,"[7, 7, 7, 7]","[18.25925925925926, 18.25925925925926, 18.25925925925926, 18.25925925925926, 18.25925925925926]","[5596.362692699629, 5605.598374094822, 5614.761045387475, 5614.761045387475, 5614.761045387475]"
9jPK8KBWzjFmBx4Hb,5,"[26, 26, 8, 35]","[6.458333333333334, 6.25, 6.458333333333334, 6.458333333333334, 5.625]","[1341.3301619675399, 1284.4337503636714, 1341.3301619675399, 1341.3301619675399, 1121.9906584059129]"
9jPK8KBWzjFmBx4Hb,3,"[3, 3]","[40.58620689655172, 42.035714285714285, 42.035714285714285]","[16226.340889244662, 16476.326533196614, 16476.326533196614]"
9jPK8KBWzjFmBx4Hb,11,"[41, 7, 9, 11, 26, 22, 11, 9, 4, 9]","[38.888888888888886, 38.111111111111114, 38.111111111111114, 38.111111111111114, 38.111111111111114, 40.74074074074074, 40.74074074074074, 40.74074074074074, 40.74074074074074, 40.74074074074074, 40.74074074074074]","[14463.293319233659, 14099.32897228663, 14111.926466983896, 14111.926466983896, 14124.464115875011, 15440.772167784173, 15440.772167784173, 15427.218981516904, 15427.218981516904, 15440.772167784173, 15440.772167784173]"
9jPK8KBWzjFmBx4Hb,4,"[28, 14, 5]","[4.520833333333334, 4.229166666666666, 3.625, 4.229166666666666]","[844.009755796717, 777.5443763600675, 644.967685459964, 777.5443763600675]"
9jPK8KBWzjFmBx4Hb,4,"[7, 7, 1]","[5.8125, 5.625, 5.58, 5.8125]","[1159.3903470194434, 1113.75, 1146.742452324686, 1159.3903470194434]"
9jPK8KBWzjFmBx4Hb,10,"[9, 9, 24, 1, 0, 11, 11, 16, 5]","[10.5, 10.5, 10.5, 10.23076923076923, 10.64, 10.64, 10.64, 10.64, 9.62, 9.62]","[2522.449309860058, 2515.2085185226642, 2522.449309860058, 2601.705897274477, 2638.1297798363203, 2638.1297798363203, 2645.38636243172, 2638.1297798363203, 2311.0440343670243, 2317.595567054503]"
9jPK8KBWzjFmBx4Hb,8,"[2, 11, 22, 14, 11, 4, 13]","[10.62962962962963, 11.038461538461538, 11.038461538461538, 11.038461538461538, 11.038461538461538, 11.038461538461538, 10.25, 11.038461538461538]","[2815.115994685373, 2852.087499306007, 2859.285376442086, 2859.285376442086, 2852.087499306007, 2859.285376442086, 2588.6744390288177, 2859.285376442086]"
