id,cmd_i,derivation_chain
cAjaq3y2tWFKB36XQ,4,['zeSyP7pEphnYFzQJt']
cAjaq3y2tWFKB36XQ,5,['gkNsqtTiwmCq6rE9m']
9jPK8KBWzjFmBx4Hb,0,['rjZBB22au4p7u2R2A']
9jPK8KBWzjFmBx4Hb,1,"['uiY7mXWA5fBvhHLES', 'TWnMrBhHJobbkqx4Z']"
9jPK8KBWzjFmBx4Hb,2,"['m2vFmD2izRcxgdRkY', '5kRcDZ5dp87nycpfW']"
9jPK8KBWzjFmBx4Hb,3,['o7MJDnzoCTDTeSyb2']
9jPK8KBWzjFmBx4Hb,4,"['wxuJ3nWaubKfXKAEf', 'F9sn5MC8TPo8xMtgq', 'eAqbwgBBn8Svcxb2Q', '6F4dYJTR9YYZXvthB']"
9jPK8KBWzjFmBx4Hb,5,"['5jfGoyNCdqk5P4QAc', 'YPWWvNPemRmKXvMfz', 'x8eauYSyoxcWok2k6']"
9jPK8KBWzjFmBx4Hb,6,['vFqqfxh6e3huwaa8E']
9jPK8KBWzjFmBx4Hb,7,['o47ycp7SKFdiSLZnH']
9jPK8KBWzjFmBx4Hb,8,['nv8Qbu5DCast97byo']
9jPK8KBWzjFmBx4Hb,9,"['wbqA5TB78HXEtHYEz', 'fHQiNMJvmAKG3zsdQ']"
9jPK8KBWzjFmBx4Hb,10,"['H9hdkzFnqiB2GWjYj', 'y86LpqDDS6edbhJ6J']"
9jPK8KBWzjFmBx4Hb,11,['9iJJJS2Dx7yMf4LvZ']
9jPK8KBWzjFmBx4Hb,12,['8vgq8jNWE4tKjhYJ5']
9jPK8KBWzjFmBx4Hb,0,['xkuuzm3We6L5nhycr']
9jPK8KBWzjFmBx4Hb,0,"['Tv65qxvexuHKykxCg', 'LBCraKMA36KY6LLhe']"
9jPK8KBWzjFmBx4Hb,1,"['uCK5xTfbs8NDgXGpM', 'Q37RBHECSPCZftF4s', '3greanxbMFneGajJ8', 'MgMGFtHWZhu6yojzJ', 'c6snpZKiJz7BxE98B']"
9jPK8KBWzjFmBx4Hb,2,['4ZRouggouMCwutp7q']
9jPK8KBWzjFmBx4Hb,0,['mwsXXQ5rBsQwFKXAP']
9jPK8KBWzjFmBx4Hb,1,"['7Y6ChH9wf3Emo5fkv', 's7nRD8kGWzYtfKL4t', '5GZQuves787L9xSF3']"
9jPK8KBWzjFmBx4Hb,2,"['bhAPWDe4EfANRuDK7', 'iF5doTNKWPxTxob6S']"
9jPK8KBWzjFmBx4Hb,3,"['FLSEcBqrTDauBNhbn', '72PuX2nWiRNRY9eTr', '6Ajppa99Ej6juzG6j', 'zBEdSbRkvxNemTiE2', 'xMoKq8pjF3BrBgFmQ']"
9jPK8KBWzjFmBx4Hb,4,"['iBLBzEQmsxwitqS8n', 'yBMqPquSFFc8aPcxu', 'vsyD3njZXp7LYz2eh', 'qzEsSEGRKt4yyzon8', 'rKSD3ukGqeRYvtvsc', 'bQcXdGbhQt9GPBQkT', 'dYyED3T7AHpqhYxXi', 'QSe74r7is3KwdXz6Y', 'WEtabbFXd2RkdsBWc', 'ftHM5sN33NTFRrY6N']"
9jPK8KBWzjFmBx4Hb,5,"['YSpMccYBvWo9uAGo5', 'Ts39Xcr3545MDQQHT', 'KxwvMZXGbh8kMTFWa', 'fHDafwvCS4AshrBh9', 'WvkXnrFFB7cfx3mS6', 'qrseory3n7Ay39gj5', 'XbJAYv8CRQYuFPSj8', 'EG5tZo4etux2meYBP']"
9jPK8KBWzjFmBx4Hb,6,['avenjyP6Xrf3thZfR']
