root_node,chain_len,halstead_difficulty,halstead_effort
cAjaq3y2tWFKB36XQ,1,[10.0],[769.1767875292167]
cAjaq3y2tWFKB36XQ,1,[8.0],[476.8361000750002]
9jPK8KBWzjFmBx4Hb,1,[7.0],[379.9792043087891]
9jPK8KBWzjFmBx4Hb,2,"[12.0, 9.0]","[865.3238859703688, 577.7052750908657]"
9jPK8KBWzjFmBx4Hb,2,"[7.2, 7.2]","[417.4027995044511, 417.4027995044511]"
9jPK8KBWzjFmBx4Hb,1,[7.2],[417.4027995044511]
9jPK8KBWzjFmBx4Hb,4,"[10.0, 10.0, 10.0, 9.0]","[769.1767875292167, 769.1767875292167, 769.1767875292167, 585.1258799116152]"
9jPK8KBWzjFmBx4Hb,3,"[9.333333333333334, 10.5, 8.0]","[634.7761833633361, 772.8352688083418, 476.8361000750002]"
9jPK8KBWzjFmBx4Hb,1,[7.2],[417.4027995044511]
9jPK8KBWzjFmBx4Hb,1,[10.833333333333332],[842.0500391554457]
9jPK8KBWzjFmBx4Hb,1,[9.0],[577.7052750908657]
9jPK8KBWzjFmBx4Hb,2,"[8.0, 9.0]","[476.8361000750002, 577.7052750908657]"
9jPK8KBWzjFmBx4Hb,2,"[12.833333333333334, 9.9]","[1090.8333333333335, 651.4809449343553]"
9jPK8KBWzjFmBx4Hb,1,[9.0],[641.9098127920682]
9jPK8KBWzjFmBx4Hb,1,[10.0],[769.1767875292167]
9jPK8KBWzjFmBx4Hb,1,[4.800000000000001],[224.29057270982133]
9jPK8KBWzjFmBx4Hb,2,"[8.0, 8.0]","[476.8361000750002, 476.8361000750002]"
9jPK8KBWzjFmBx4Hb,5,"[6.3, 8.8, 7.0, 7.0, 9.9]","[332.0591971620743, 537.730303755341, 379.9792043087891, 379.9792043087891, 651.4809449343553]"
9jPK8KBWzjFmBx4Hb,1,[6.3],[332.0591971620743]
9jPK8KBWzjFmBx4Hb,1,[8.0],[476.8361000750002]
9jPK8KBWzjFmBx4Hb,3,"[9.0, 9.166666666666666, 9.0]","[577.7052750908657, 689.3978253273601, 577.7052750908657]"
9jPK8KBWzjFmBx4Hb,2,"[6.3, 7.2]","[332.0591971620743, 417.4027995044511]"
9jPK8KBWzjFmBx4Hb,5,"[8.0, 8.0, 8.0, 8.0, 7.2]","[476.8361000750002, 476.8361000750002, 476.8361000750002, 526.4492484318023, 417.4027995044511]"
