derivation_chain,status_chain,halstead_difficulty
"['Q37RBHECSPCZftF4s', '3greanxbMFneGajJ8', 'MgMGFtHWZhu6yojzJ']","['PARSEERROR', 'PARSEERROR', 'SAT']","[8.8, 7.0, 7.0]"
"['s7nRD8kGWzYtfKL4t', '5GZQuves787L9xSF3']","['PARSEERROR', 'UNSAT']","[9.166666666666666, 9.0]"
"['FLSEcBqrTDauBNhbn', '72PuX2nWiRNRY9eTr', '6Ajppa99Ej6juzG6j', 'zBEdSbRkvxNemTiE2']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[8.0, 8.0, 8.0, 8.0]"
"['yBMqPquSFFc8aPcxu', 'vsyD3njZXp7LYz2eh', 'qzEsSEGRKt4yyzon8', 'rKSD3ukGqeRYvtvsc', 'bQcXdGbhQt9GPBQkT', 'dYyED3T7AHpqhYxXi', 'QSe74r7is3KwdXz6Y', 'WEtabbFXd2RkdsBWc', 'ftHM5sN33NTFRrY6N']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.0, 9.0, 10.0, 10.0, 10.0, 11.666666666666668, 11.666666666666668, 10.0, 10.0]"
"['KxwvMZXGbh8kMTFWa', 'fHDafwvCS4AshrBh9', 'WvkXnrFFB7cfx3mS6']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[6.666666666666667, 7.428571428571429, 8.0]"
"['CCt6wniT5St2hKKFr', '5ZNvaTddSLXNkdJHZ', 'rQiHpZRTeqjuLPZ6K']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.6, 8.0, 7.0]"
"['sP2i3NkvtasnrfTRG', 'ZGknyF5y8szdBMMCH']","['PARSEERROR', 'UNSAT']","[7.5, 9.0]"
"['kXBF3YeytfmtD9PyP', 'sonwyFZWd4d5Lszvz']","['PARSEERROR', 'SAT']","[11.0, 11.0]"
"['uWYagensDGZWSQCvm', 'kn7x3fNcZdNtDMFyL', 'mJ7wH9yLtT8Lka7vb']","['PARSEERROR', 'PARSEERROR', 'SAT']","[12.100000000000001, 10.214285714285715, 11.916666666666666]"
"['8ZNJ6xH6YBJNRkauc', 'KbBLZrZpvr5cNERxk']","['PARSEERROR', 'UNSAT']","[9.0, 10.0]"
"['XX7mpztNhCiKrKNLv', 'GCBrtYHMvAP5LjkqC']","['PARSEERROR', 'SAT']","[6.857142857142857, 8.0]"
"['tLQ54wjBvLigTpjXG', 'ocFmyKuMYwdCFrNyw', 'ewRiam5ydn7ToBsrN']","['PARSEERROR', 'PARSEERROR', 'SAT']","[11.666666666666668, 15.0, 16.25]"
"['LXQ6jMxX7XHAiekEr', 'vfTk2vBSu5qTmaRaT']","['PARSEERROR', 'SAT']","[8.0, 9.75]"
"['stEb3ubYdTc2PA3Wk', 'RRC5EvnTKvtiBSksF']","['PARSEERROR', 'SAT']","[12.142857142857142, 11.428571428571427]"
"['QwSWgwX9RXehyuXTu', 'GLtxrFwpNBMppweeC']","['PARSEERROR', 'SAT']","[11.428571428571427, 11.428571428571427]"
"['dKEZmi6fLwigwSqCu', 'waXXhgPZ4CYhAqtue']","['PARSEERROR', 'UNSAT']","[8.0, 8.0]"
"['4dfoKz92bcck6Srua', 'w8o27DpzrEsPQ2oS6', 'rAiA5uctu3iXcLN4Y']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[7.0, 7.0, 7.0]"
"['9LHrQWw9h3m8SpcbX', '4JHQyzHAkE89xLMfn', 'wTgYgFwT6zYWxYxur']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[8.0, 9.0, 7.2]"
"['Diob2JCh9yei4Cp5J', 'bnduceBFB6W2TSG4B', '9GxamuCyKHJ2Zzi6Q']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[8.0, 8.0, 8.0]"
"['Kw9iqgge8aAj8vHx7', 'JsR9gbeqD5oKQk7xy', 'X6QsYgvdbc4P4754C', 'yRworpgXpcizd7hdw', 'vdYP6eJ6hodqbaedX', '9EDoWgh7D6pz2x6uG']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.333333333333334, 9.333333333333334, 10.5, 10.5, 9.333333333333334, 10.5]"
"['rHh8ph9Dqda3AT6ZL', '8rCG3b5KtEHioq3Ek', 'Hg3SaDNqMc3uSXY64']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[7.333333333333333, 8.0, 8.0]"
"['4ZnhPspD8dkzqwdmz', 'QsGhbmqzdRXfFjBNo', 'z838wA28tFe9WYbLT', 'ix6v7CieKPmo2ma4p', '9QzZgydoqvYb4eEcD', 'bz8kyyNSSZLfdDsdN', 'rzDsJSnkD4eK3T492']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[6.857142857142857, 7.333333333333333, 10.714285714285714, 10.0, 10.714285714285714, 10.714285714285714, 12.571428571428571]"
"['WqQ4vxJgvz2TbedhP', 'S8fNbPB6tXagEr9Tz', 'ixHG3iTs9iyyc4dE5', 'jMHNBRALXsRT4ymTq', 'aGxhN8qufG766zoQb']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[13.714285714285714, 14.57142857142857, 14.57142857142857, 14.57142857142857, 12.571428571428571]"
