id,parseerror_distances,not_parseerror_distances
gkNsqtTiwmCq6rE9m,[],[0]
8vgq8jNWE4tKjhYJ5,[],"[46, 21, 33, 16, 22, 58, 5, 5, 46, 22, 27, 46, 26, 64, 28, 31, 2, 79, 41, 60, 57]"
xkuuzm3We6L5nhycr,[],[]
4ZRouggouMCwutp7q,[16],"[13, 0, 16, 12]"
C9pbWsWdabtQT47ND,"[18, 2, 11, 13, 2, 2, 14, 2, 35, 18, 2, 22, 20, 18, 8, 2, 0, 7]","[25, 10, 7, 20, 40, 29, 13, 26, 2, 9, 26, 1, 23, 7, 0, 7, 7]"
ZmFER5FDLgzK4h4Be,[],[]
hygKcBB4aivg4fFqZ,[],"[10, 45, 26, 26, 8, 35, 40]"
u6BjEJdCMA4h6huTM,"[3, 3]","[59, 59, 0, 32, 41, 7, 9, 11, 26, 22, 11, 9, 4, 9]"
cFEeySp7iXaJDrDLu,[],[70]
8KGv5F6b8ySPofNdJ,"[28, 24, 0, 2, 15, 2, 16]","[5, 27, 7, 17, 22, 0, 11, 11, 11, 22, 14, 11, 4, 13, 27, 40, 41, 8, 8, 84, 4, 5, 7, 11, 39, 47, 20, 27, 6, 16, 7, 7, 30, 31, 27, 9, 19, 7]"
2u3JjLAqANNhYCr6j,[1],"[126, 10, 8, 108, 2, 26, 102, 6, 10, 26, 6, 2, 28, 6, 7, 0, 22, 4, 88, 2, 6, 5, 4, 0, 89, 12]"
9fm5gvWbokWhpBKqB,[],"[61, 0, 0, 0, 0, 0, 61, 61, 6, 5, 24, 24]"
qCXykJBTfsLPXbRdz,[],"[29, 4, 7, 4, 29, 110, 5, 7, 4, 7, 7, 4, 40, 7, 18, 37, 7, 5, 4, 7, 7, 5, 5, 25, 5]"
B3TcLpqzsgAqswZef,"[1, 6, 2, 4, 11, 4, 13, 4, 4, 29, 8, 8, 1, 11, 1, 5]","[27, 24, 23, 11, 0, 7, 6, 19, 16, 0, 28, 1, 20, 41, 21, 21, 11, 11, 11, 16, 42, 0, 7, 7, 1]"
Ym7SGD3bMh7isWsnR,[],"[50, 39, 29, 1, 28, 22, 65, 18, 18, 56, 39, 7, 71]"
PPEsvXnyf76pfsv9Y,[],[]
F7owei4fZuu68NJf6,[],"[22, 17, 22, 45, 0, 0, 34, 18, 21, 14, 16, 54, 27, 19, 29, 19, 41, 0, 26, 16, 2, 51, 0, 6, 6, 18, 29, 29, 4, 19, 24, 25, 29, 13, 14, 0, 13, 30, 2, 67, 4, 17, 12, 46, 4, 49, 15, 4, 11, 11, 27, 4, 4, 1]"
vpPyagBCyBg3N4EWT,"[18, 13, 12, 4, 10, 4, 48, 4, 2]","[10, 3, 14, 18, 25, 7, 36, 29, 7, 9, 11, 2, 5, 5, 6, 6, 7, 7, 21, 10, 0, 7, 29, 0, 14, 0, 21, 23, 27, 27, 14, 15, 1, 27, 6, 4, 65, 14, 23, 5, 7, 7, 16, 25, 40, 27, 7, 2, 6, 41, 1, 14, 7, 26, 4, 14, 14, 9, 1, 7, 74, 11, 28, 7, 27, 0, 0, 36, 17]"
JCzZ6wk2sT4vGj86e,"[0, 0, 71, 1, 1, 1, 2, 8]","[3, 9, 1, 3, 64, 7, 14, 19, 2, 65, 5, 8, 0, 2, 7, 9, 59, 20, 0, 0, 48, 48, 24, 0, 0, 0, 0, 0, 0, 0, 25, 7, 29, 7, 28, 1, 21, 33, 1, 11, 31, 26, 2, 1, 11, 11, 1, 21, 1, 1, 1, 65, 0, 15, 15, 0, 8]"
xbHRZKtEEX6ECdL7Z,[],[]
qq5vmuizcZSbgSSKt,[],[]
MfrBjNyLsPfLHmdjB,"[1, 19, 0, 1, 10, 2]","[7, 33, 16, 24, 2, 12, 12, 15, 8, 6, 10, 92, 28, 31, 13, 2, 10, 40, 2, 0, 7, 7, 2, 19, 29, 1, 1, 8, 23, 7, 105, 63, 78, 0, 73, 2, 5, 2, 111, 8, 26, 10, 7, 47, 11, 6, 27, 24, 18, 8, 67, 0, 4, 15, 14, 39, 13, 18, 32, 11, 22, 10, 21, 7, 6, 30, 38]"
ShzpTgXuRX7Gy4Rmd,[],"[28, 17, 22, 32, 0, 24, 64, 15, 11, 24, 6, 24, 6, 62, 23, 37, 18, 86, 8, 20, 8, 26, 93, 16, 25, 33, 67, 53, 12, 24, 9, 6, 80, 7, 19, 48, 7, 7, 7, 0, 46, 7, 26, 115, 7, 9, 104, 9, 18, 58, 5, 63, 27, 7, 87, 49, 7, 12, 12, 5, 5, 118, 8, 27, 7, 32, 7, 30, 7, 7, 161, 41, 7, 19, 11, 11]"
CJPWNNTBMJEC6QyK2,"[2, 1, 11, 5, 12, 44, 10]","[24, 0, 17, 0, 5, 3, 11, 11, 27, 13, 40, 2, 24, 2, 99, 5, 4, 0, 11, 10, 29, 6, 11, 2, 22, 28, 2, 2, 4, 4, 15, 2, 9, 9, 1, 11, 6, 1, 60, 0, 0, 10, 1, 17, 10, 31, 7, 60, 1, 1, 7, 14, 14, 9, 7, 14, 105, 7, 14, 9, 7, 80, 1, 2, 10, 7, 4, 44, 22, 60, 0, 13, 13, 7, 29, 48, 7, 1, 28, 7, 66, 26, 71, 4, 6, 11, 23, 0, 1]"
v3cYnXtvbqpw2LeJf,"[1, 29, 1, 11]","[126, 10, 8, 108, 2, 26, 102, 6, 10, 26, 6, 2, 28, 6, 7, 0, 22, 4, 88, 2, 6, 5, 4, 0, 89, 12, 8, 61, 0, 11, 13, 12, 0, 0, 0, 3, 6, 31, 7, 5, 11, 7, 6, 7, 6, 5, 6, 13, 5, 15, 6, 7, 5, 13, 7, 65, 49, 51, 0, 8, 8, 10, 12, 9, 11, 38, 7, 6, 18, 7, 7, 7, 15, 7, 52, 10, 21, 35, 11, 22, 25, 10, 11, 31, 24, 6, 35, 12, 105, 9, 70, 0, 7, 16, 5, 9, 7, 120, 16, 9, 20, 10, 24, 7, 10, 125, 12, 9, 66, 0, 0, 0, 26]"
sSXgEB6wKPtbq4dEp,"[15, 1, 0, 18, 0, 2, 0, 88, 20, 5, 21, 7, 9, 7, 31, 3, 3, 17, 30, 23, 9, 20, 2, 7, 31, 6, 18]","[8, 0, 22, 8, 20, 19, 11, 1, 17, 19, 2, 22, 8, 20, 8, 4, 22, 9, 9, 21, 5, 10, 10, 19, 2, 24, 13, 9, 32, 9, 41, 35, 5, 5, 7, 26, 29, 2, 40, 8, 11, 51, 22, 84, 8, 61, 9, 9, 53, 1, 123, 18, 17, 5, 30, 9, 131, 22, 2, 9, 27, 14, 2, 7, 123, 36, 20, 6, 28, 14, 16, 20, 7, 11, 7, 16, 9, 84, 7, 7, 14, 2, 5, 7, 9, 43, 59, 7, 5, 11, 114, 60, 71, 7, 7, 7, 5, 7, 32, 7, 6, 28, 13, 7, 44, 5, 7, 2, 7, 6, 5, 4, 25, 7, 7, 18, 7, 9, 6, 14, 120, 11, 45, 0, 34, 47, 21, 7, 6, 18, 7, 7, 39, 7, 7, 45, 7, 7, 7, 9, 5, 5, 27, 6, 91, 0, 16, 24, 26, 86, 0, 4, 5, 7, 41, 7, 21, 8, 28, 7, 52, 17, 24, 7, 43, 1, 21, 66, 20, 13, 7, 7, 7, 28, 7, 6, 6, 9, 5, 6, 6]"
vPLCXDJpYXJ6o25mZ,[],"[0, 0, 0]"
ywtXcN7cGgN2uFhRL,[],[60]
23hMeYeeS9tWvJKWk,"[18, 13, 12, 4, 10, 4, 48, 4, 2, 12, 2, 11, 12, 7, 2, 23, 3, 3, 2, 15, 20, 1, 11, 25, 12]","[10, 3, 14, 18, 25, 7, 36, 29, 7, 9, 11, 2, 5, 5, 6, 6, 7, 7, 21, 10, 0, 7, 29, 0, 14, 0, 21, 23, 27, 27, 14, 15, 1, 27, 6, 4, 65, 14, 23, 5, 7, 7, 16, 25, 40, 27, 7, 2, 6, 41, 1, 14, 7, 26, 4, 14, 14, 9, 1, 7, 74, 11, 28, 7, 27, 0, 0, 36, 17, 59, 9, 47, 2, 15, 11, 64, 71, 6, 7, 11]"
K2j92s2McryAJAafq,[],[]
R9iq92AQDNQsLnKmH,[],[]
Ju3bMtfQQkH67ZJSb,[],[36]
XuKjSo4GygsfGuWR5,[7],"[17, 22, 22, 18, 10, 95, 0, 19, 0, 10, 20, 26, 22, 17, 15, 54, 0, 57, 43, 40, 70, 64, 0, 60, 26, 60, 174, 0, 0, 0, 0, 0, 4, 91, 0, 48, 48, 0, 0, 0, 0, 9, 32, 48, 6, 0, 0, 14, 5, 22, 4, 9, 20, 17, 79, 0, 0, 0, 0, 0, 40, 5, 4, 48, 0, 0, 0, 0, 0, 0, 0, 0, 71, 9, 28, 62, 32, 4]"
9NYjpetptEgZPpMxP,[],"[31, 20, 41, 22, 2, 34, 46, 23, 1, 0, 1, 1, 62, 9, 47, 4, 10, 7, 5, 31, 45, 7, 2, 0, 24, 6, 39, 2, 41, 0, 48, 2, 14, 66, 72, 4, 1, 2, 2, 0, 11, 48, 4, 60, 28, 5, 45, 9, 23, 38, 1, 34, 9, 9, 97, 27, 25, 57, 5, 4, 5, 5, 7, 23, 18, 14, 23, 44]"
W8kJkudZ9Cy37ovtX,"[8, 0, 3, 16, 6, 48, 7, 29, 5]","[12, 6, 7, 11, 1, 14, 1, 8, 1, 25, 16, 18, 29, 31, 6, 4, 7, 11, 4, 4, 78, 43, 7, 5, 19, 7, 7, 7, 19, 70, 21]"
EZQ2fsrsYumyoQuZC,[],"[0, 2, 32, 48, 27, 27]"
DK9MCxfBju2bCJLod,[2],"[65, 9, 11]"
