id,parseerror_fix_steps,unsat_to_sat_steps
gkNsqtTiwmCq6rE9m,[],[]
8vgq8jNWE4tKjhYJ5,[],"[1, 1, 1, 1]"
xkuuzm3We6L5nhycr,[],[]
4ZRouggouMCwutp7q,[2],[1]
C9pbWsWdabtQT47ND,"[1, 3, 8, 2, 3, 1, 2, 5, 2]","[1, 1, 6, 1, 1, 1, 4, 7, 1]"
ZmFER5FDLgzK4h4Be,[],[]
hygKcBB4aivg4fFqZ,[],[1]
u6BjEJdCMA4h6huTM,[3],"[1, 4]"
cFEeySp7iXaJDrDLu,[],[1]
8KGv5F6b8ySPofNdJ,"[2, 1, 1, 2, 1, 1, 3, 1, 1, 3, 2]","[1, 2, 2, 4, 1, 1, 3]"
2u3JjLAqANNhYCr6j,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1]"
9fm5gvWbokWhpBKqB,"[1, 1]","[1, 1, 1]"
qCXykJBTfsLPXbRdz,[],[]
B3TcLpqzsgAqswZef,"[1, 2, 2, 2, 5, 2, 6, 4, 1, 1]","[6, 1, 4, 1, 1, 11, 5, 1, 1, 7, 4, 1]"
Ym7SGD3bMh7isWsnR,[],"[1, 1, 1, 1, 1]"
PPEsvXnyf76pfsv9Y,[],[]
F7owei4fZuu68NJf6,"[1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
vpPyagBCyBg3N4EWT,"[2, 3, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1, 2]","[1, 3]"
JCzZ6wk2sT4vGj86e,"[6, 2, 3, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 4, 1]"
xbHRZKtEEX6ECdL7Z,[1],[]
qq5vmuizcZSbgSSKt,[],[]
MfrBjNyLsPfLHmdjB,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 4]","[1, 2, 3, 1, 1, 1, 1, 1, 1]"
ShzpTgXuRX7Gy4Rmd,"[1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CJPWNNTBMJEC6QyK2,"[1, 1, 3, 1, 2, 1, 1, 4, 1, 1, 1, 1, 2]","[4, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
