spec,parseable,eloc,comments,halstead,operators,operands,halstead_difficulty,halstead_effort
.\data\code\AlloyExamples\algorithms\dijkstra.als,True,71,17,"[26, 40, 130, 244]","[&&, no, some, for, run, sig, pred, else, assert, let, [, all, =>, !, in, &, module, +, check, -, ., ->, as, =, open, ~]","[lucky, next, algorithms, otherProc, ordering, lt, dijkstra, Process, GrabOrRelease, DijkstraPreventsDeadlocks, IsFree, post, so, IsStalled, GrabMutex, mo, pre, waits, last, mu, Mutex, m, p, Deadlock, 0, ReleaseMutex, ShowDijkstra, expect, 1, 2, s, 3, examples, util, 4, 5, State, holds, Initial, first]",79.3,44732.73622415992
.\data\code\AlloyExamples\algorithms\messaging.als,True,105,65,"[31, 64, 240, 351]","[&&, no, some, fact, lone, for, sum, run, sig, pred, let, [, =<, all, =>, !, set, #, in, &, module, one, -, ., ->, as, =, open, fun, <:, >]","[MsgState, NodeState, n1, n2, Node, CleanupViz, available, NoLostMessages, MsgsSentOnTick, OutOfOrder, FROM, relation, post, sentOn, rel, Tick, from, needsToSend, ReadInOrder, state, pre, visible, read, last, MsgMovementConstraints, past, SomeState, sent, messaging, MsgsLiveOnTick, 1, 2, examples, util, 4, MsgsReadOnTick, TicksEquivalent, t1, t2, next, algorithms, dom, NoMessageShortage, ordering, readOn, MsgsVisibleOnTick, ReadOnlyVisible, lte, nexts, ord, Msg, Loop, m1, m2, m, n, expect, r, t, future, to, TO, first, prevs]",85.0078125,74353.47396637432
.\data\code\AlloyExamples\algorithms\opt_spantree.als,True,97,54,"[33, 52, 171, 286]","[||, &&, but, no, some, fact, lone, for, run, sig, pred, else, assert, let, [, all, =>, !, set, in, module, one, *, check, exactly, -, ., ->, as, extends, =, open, ~]","[parent, Lvl, lo, TRActPreConds, Process, dag, Init, post, TraceWithoutLoop, noSelfLoops, BadLivenessTrace, opt_spantree, pre, lvl, Root, last, adj, PossTrans, graph, 0, 1, 3, examples, util, 4, 5, State, TRNop, 7, SuccessfulRun, EquivStates, SpanTreeAtState, next, algorithms, adjProc, undirected, Closure, ordering, LegalTrans, fs, so, Trans, nexts, processGraph, nLvl, p, TRAct, expect, s, TransIfPossible, runs, first]",90.75,68159.08342632919
.\data\code\AlloyExamples\algorithms\peterson.als,True,144,21,"[32, 66, 291, 507]","[||, &&, but, no, some, fact, for, run, sig, not, pred, else, assert, let, [, all, !, =>, #, module, one, +, abstract, check, -, ., ->, as, disj, extends, =, open]","[firstState, NotStuck, L4TransPre, lt, pid, L0TransPre, L1Trans, Init, post, RealTrans, peterson, ThreeRun, s1, s2, 10, s3, pre, 13, last, TwoRun, 19, priority, 0, 1, 2, L0Trans, 3, examples, util, L3Trans, 4, 5, State, NOPTrans, L2TransPre, next, L3TransPre, algorithms, ordering, localj, L4Trans, turn, LegalTrans, P, Q, SomePre, label_t, Safety, so, L2Trans, L0, L1, L2, L3, L4, i1, i, i2, j, i3, k, expect, s, L1TransPre, first, po]",122.9090909090909,116117.62664270143
.\data\code\AlloyExamples\algorithms\ringlead.als,True,102,8,"[31, 75, 201, 415]","[||, &&, but, no, some, fact, lone, for, run, sig, pred, else, assert, let, [, all, !, =>, set, #, in, module, one, iff, check, -, ., as, extends, =, open]","[msg, leader, MsgState, NodeState, Liveness, Node, CleanupViz, RingLeadMsgState, NoLostMessages, True, False, vTo, post, Bool, Tick, from, needsToSend, id, state, tickOrd, rightNeighbor, pre, visible, read, SomeLeader, last, received, sent, messaging, vId, 0, 1, weSend, RingLeadTransitions, 2, 3, examples, util, RingLeadTransHelper, sees, 5, 6, DefineRing, next, algorithms, RingLeadRestTrans, bool, NoMessageShortage, ordering, RingLeadNode, mID, ringlead, OneLeader, LeaderHighest, nexts, NeverFindLeader, Msg, vFrom, Loop, RingLeadNodeState, InitRingLeadState, reads, SomeLeaderAtTick, m, n, RingLeadFirstTrans, MsgViz, sends, expect, boolean, t, nodeOrd, self, to, first]",85.76666666666667,84246.82758453487
.\data\code\AlloyExamples\algorithms\stable_mutex_ring.als,True,112,18,"[32, 67, 208, 322]","[but, some, fact, for, run, sig, not, pred, else, assert, let, [, all, =>, !, #, set, in, module, one, iff, +, check, -, ., ->, as, extends, =, open, >, fun]","[Val, FirstProcTrans, BadSafetyTrace, ring, val2, val1, Process, RestProcTrans, badTick, TraceWithoutLoop, Tick, newVal, priv, valMap, val, rightNeighbor, last, this, BadTick, graph, TickTrans, 0, vg, 1, neighborVal, 2, 3, examples, util, 4, 5, 6, 7, stable_mutex_ring, nextVal, t1, t2, next, algorithms, p1, p2, TraceShorterThanMaxSimpleLoop, processMap, Closure, ordering, Privileged, LegalTrans, lst, curVal, FirstProc, nexts, TwoPrivileged, p, expect, t, v, pg, tn, to, v1, DefineRings, tp, v2, runs, MoreValThanProcess, IsomorphicStates, first]",76.8955223880597,68893.39034253971
.\data\code\AlloyExamples\algorithms\stable_orient_ring.als,True,72,2,"[29, 63, 188, 288]","[&&, ||, but, some, fact, for, run, sig, pred, else, assert, let, [, all, =>, set, in, &, module, one, check, -, ., ->, as, =, open, fun, ~]","[ring, Transitions, True, Process, False, dir, b1, b2, S2p, RingAtTick, b3, b4, Bool, Tick, Tn, Tp, rightNeighbor, last, nS, nT, SomeState, rng, dirp, graph, dirn, 1, T1p, Not, 2, 3, examples, util, DefineRing, next, algorithms, p1, p2, bool, Closure, ordering, S, T2p, T, ord, AP1, AP2, pS, pT, Eq3, Eq4, stable_orient_ring, p, expect, leftNeighbor, boolean, S1p, t, tn, Sn, tp, runs, Sp, first]",66.28571428571428,54243.14009715563
.\data\code\AlloyExamples\algorithms\stable_ringlead.als,True,138,5,"[33, 70, 253, 456]","[&&, ||, but, no, some, fact, for, run, sig, pred, else, assert, let, [, all, =>, !, #, set, in, &, module, one, +, check, -, ., ->, as, <, =, open, fun]","[Val, ring, ls, Process, ConvergingRun, StateTrans, ValAtState, newVal, CBadLivenessTrace, val, DDaemonTrans, rightNeighbor, last, LeadersAtState, graph, TransHelper, BadLivenessHelper, XAtState, 0, 1, 3, examples, util, 4, 5, State, vo, nextVal, DTraceWithoutLoop, next, algorithms, minus, other, CTraceWithoutLoop, DBadLivenessTrace, ordering, Legit, OnlyFairLoops, stable_ringlead, Int, running, RightValAtState, so, nexts, Trans, a, b, g, OneAtATimeTrans, gt, int, CMustConverge, p, oldVal, loopStates, expect, YAtState, s, t, x, y, tn, v1, v2, tp, LeaderAtState, first, LeftValAtState, po, prevs]",107.48571428571428,104838.67511985346
.\data\code\AlloyExamples\algorithms\s_ringlead.als,True,108,9,"[32, 54, 194, 350]","[||, &&, but, no, some, fact, lone, for, run, sig, pred, else, assert, let, [, all, !, =>, set, in, &, module, one, iff, +, check, -, ., ->, as, =, open]","[leader, ring, ls, Process, Preconds, AltTrans, TraceWithoutLoop, BadLivenessTrace, ValidTrans2, buffer, readable, rightNeighbor, SomeLeader, last, NoMagicMsg, PossTrans, graph, 0, CleanupLast, 1, 3, examples, util, 4, 5, State, 6, 7, DefineRing, 8, EquivStates, t1, t2, next, algorithms, ordering, NOP2, Legit, LegalTrans, Safety, so, nexts, m, gt, p, expect, s_ringlead, s, InitialState, VT2Helper, TransIfPossible, runs, first, po]",103.70370370370371,81046.70563604006
.\data\code\AlloyExamples\book\appendixA\addressBook1.als,True,11,2,"[10, 9, 12, 13]","[sig, set, fact, extends, pred, module, for, run, abstract, +]","[addressBook1, Group, address, 3, Alias, show, appendixA, Addr, Name]",7.222222222222222,637.2402660413094
