id,chain_len,distances,halstead_difficulty,halstead_effort
6568,4,"[15, 21, 0]","[0, 1.0, 1.0, 1.0]","[0, 4.754887502163468, 7.754887502163468, 7.754887502163468]"
6701,3,"[161, 1]","[0, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857]"
6750,8,"[1241, 614, 171, 332, 32, 13, 51]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 2.6666666666666665, 3.3333333333333335, 3.0, 3.75]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 59.17193336025649, 83.64912501682699, 91.3765181293825, 175.22700992954788]"
6797,20,"[30, 24, 22, 20, 1, 0, 0, 14, 15, 8, 25, 0, 31, 22, 5, 0, 0, 0, 0]","[0, 1.0, 2.0, 2.25, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 3.0, 3.75, 3.75, 7.0, 7.0, 10.666666666666666, 12.666666666666666, 13.333333333333334, 13.333333333333334, 13.333333333333334, 13.333333333333334, 13.333333333333334]","[0, 9.287712379549449, 36.0, 54.48604799353743, 101.52946458820277, 101.52946458820277, 101.52946458820277, 101.52946458820277, 120.0, 168.6078422015765, 172.00940630949538, 417.2315875656252, 417.2315875656252, 732.7623289442055, 909.5928550049073, 972.431294917404, 972.431294917404, 972.431294917404, 972.431294917404, 972.431294917404]"
6809,12,"[35, 106, 6, 28, 12, 21, 44, 17, 1, 6, 7]","[0, 1.0, 3.7142857142857144, 1.4, 1.5, 2.5, 2.5, 2.5, 1.9285714285714288, 1.4285714285714286, 1.5, 2.142857142857143]","[0, 9.287712379549449, 173.5581812635522, 33.90242986264551, 44.405276617693104, 87.90503840119166, 87.90503840119166, 87.90503840119166, 73.42755921111095, 48.951706140740626, 44.405276617693104, 83.71908419161112]"
6731,3,"[15, 1]","[0, 1.0, 1.0]","[0, 4.754887502163468, 4.754887502163468]"
6747,6,"[1241, 614, 171, 332, 0]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 2.6666666666666665, 2.6666666666666665]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 59.17193336025649, 59.17193336025649]"
6754,4,"[1241, 1, 0]","[0, 28.285714285714285, 28.285714285714285, 28.285714285714285]","[0, 5637.970746140271, 5637.970746140271, 5637.970746140271]"
6753,3,"[1241, 1]","[0, 28.285714285714285, 28.285714285714285]","[0, 5637.970746140271, 5637.970746140271]"
6793,9,"[1241, 614, 171, 0, 6, 2, 1, 1]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 5.444444444444445, 6.0, 6.0, 6.0, 6.0]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 404.5314725314871, 513.5278502336546, 513.5278502336546, 513.5278502336546, 513.5278502336546]"
6736,5,"[685, 5, 2, 0]","[0, 20.5625, 20.5625, 20.5625, 20.5625]","[0, 3921.8148928487803, 3932.602449212134, 3932.602449212134, 3932.602449212134]"
6740,5,"[1241, 614, 171, 0]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 5.444444444444445]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 404.5314725314871]"
6764,12,"[1241, 501, 2, 17, 6, 8, 15, 6, 29, 2, 1]","[0, 28.285714285714285, 6.222222222222222, 9.0, 10.45, 10.909090909090908, 10.909090909090908, 9.5, 9.0, 11.375, 12.40909090909091, 11.375]","[0, 5637.970746140271, 497.20206796336885, 907.9909414845216, 1125.6211580685729, 1307.0992081032637, 1307.0992081032637, 1072.020150541498, 907.9909414845216, 1503.036255988952, 1574.088878999339, 1503.036255988952]"
6794,27,"[30, 24, 22, 20, 1, 0, 0, 14, 15, 8, 25, 0, 31, 22, 5, 0, 5, 20, 52, 3, 15, 0, 16, 2, 18, 7]","[0, 1.0, 2.0, 2.25, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 3.0, 3.75, 3.75, 7.0, 7.0, 10.666666666666666, 12.666666666666666, 13.333333333333334, 13.333333333333334, 14.0, 12.857142857142858, 12.6, 8.0, 9.6, 9.6, 9.6, 14.4, 18.0, 17.416666666666664]","[0, 9.287712379549449, 36.0, 54.48604799353743, 101.52946458820277, 101.52946458820277, 101.52946458820277, 101.52946458820277, 120.0, 168.6078422015765, 172.00940630949538, 417.2315875656252, 417.2315875656252, 732.7623289442055, 909.5928550049073, 972.431294917404, 972.431294917404, 1035.9388348970008, 1063.5274288681328, 829.1575662800885, 449.48052186828573, 564.5405321159152, 564.5405321159152, 564.5405321159152, 979.3689686177186, 1373.6149671375915, 1530.7286275103777]"
6954,10,"[161, 1, 54, 52, 0, 0, 0, 0, 0]","[0, 12.142857142857142, 12.142857142857142, 16.5, 12.142857142857142, 12.142857142857142, 12.142857142857142, 12.142857142857142, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857, 1756.2362713128296, 1032.142857142857, 1032.142857142857, 1032.142857142857, 1032.142857142857, 1032.142857142857, 1032.142857142857]"
6956,4,"[161, 1, 0]","[0, 12.142857142857142, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857, 1032.142857142857]"
7005,4,"[182, 1, 1]","[0, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[0, 1092.857142857143, 1092.857142857143, 1092.857142857143]"
