id,chain_length,derivation_chain
6552,2,6552 -> nan
6553,2,6553 -> nan
6562,2,6562 -> nan
6563,2,6563 -> nan
6564,2,6564 -> nan
6568,4,6568 -> 6567 -> 6566 -> nan
6569,2,6569 -> nan
6586,2,6586 -> nan
6672,2,6672 -> nan
6701,3,6701 -> 6700 -> nan
6750,8,6750 -> 6749 -> 6748 -> 6741 -> 6739 -> 6738 -> 6737 -> nan
6797,20,6797 -> 6796 -> 6795 -> 6780 -> 6779 -> 6778 -> 6777 -> 6776 -> 6775 -> 6774 -> 6773 -> 6772 -> 6771 -> 6770 -> 6769 -> 6768 -> 6767 -> 6766 -> 6765 -> nan
6809,12,6809 -> 6808 -> 6807 -> 6806 -> 6805 -> 6804 -> 6803 -> 6802 -> 6801 -> 6800 -> 6799 -> nan
6731,3,6731 -> 6730 -> nan
6747,6,6747 -> 6741 -> 6739 -> 6738 -> 6737 -> nan
6754,4,6754 -> 6752 -> 6737 -> nan
6746,2,6746 -> nan
6753,3,6753 -> 6737 -> nan
6793,9,6793 -> 6792 -> 6791 -> 6790 -> 6751 -> 6739 -> 6738 -> 6737 -> nan
6732,2,6732 -> nan
6736,5,6736 -> 6735 -> 6734 -> 6733 -> nan
6740,5,6740 -> 6739 -> 6738 -> 6737 -> nan
6764,12,6764 -> 6763 -> 6762 -> 6761 -> 6760 -> 6759 -> 6758 -> 6757 -> 6756 -> 6755 -> 6737 -> nan
6794,27,6794 -> 6789 -> 6788 -> 6787 -> 6786 -> 6785 -> 6784 -> 6783 -> 6782 -> 6781 -> 6780 -> 6779 -> 6778 -> 6777 -> 6776 -> 6775 -> 6774 -> 6773 -> 6772 -> 6771 -> 6770 -> 6769 -> 6768 -> 6767 -> 6766 -> 6765 -> nan
6954,10,6954 -> 6953 -> 6952 -> 6951 -> 6950 -> 6949 -> 6948 -> 6947 -> 6744 -> nan
6956,4,6956 -> 6955 -> 6744 -> nan
7005,4,7005 -> 7004 -> 7003 -> nan
7034,15,7034 -> 7033 -> 7032 -> 7031 -> 7030 -> 7029 -> 7028 -> 7027 -> 7026 -> 7025 -> 6741 -> 6739 -> 6738 -> 6737 -> nan
6971,18,6971 -> 6970 -> 6969 -> 6968 -> 6967 -> 6966 -> 6965 -> 6964 -> 6963 -> 6962 -> 6961 -> 6960 -> 6959 -> 6958 -> 6957 -> 6955 -> 6744 -> nan
6946,2,6946 -> nan
6973,3,6973 -> 6972 -> nan
7092,24,7092 -> 7091 -> 7090 -> 7089 -> 7088 -> 7087 -> 7086 -> 7085 -> 7084 -> 7083 -> 7082 -> 7081 -> 7080 -> 7079 -> 7078 -> 7077 -> 7076 -> 7075 -> 7074 -> 7073 -> 7072 -> 7071 -> 7070 -> nan
7002,13,7002 -> 7001 -> 7000 -> 6999 -> 6998 -> 6997 -> 6996 -> 6995 -> 6994 -> 6993 -> 6992 -> 6991 -> nan
7007,3,7007 -> 6744 -> nan
7045,28,7045 -> 7044 -> 7043 -> 7042 -> 7041 -> 7040 -> 7039 -> 7038 -> 7037 -> 7036 -> 7035 -> 7024 -> 7023 -> 7022 -> 7021 -> 7020 -> 7019 -> 7015 -> 7014 -> 7013 -> 7012 -> 7011 -> 7010 -> 7009 -> 7008 -> 7006 -> 6744 -> nan
7047,9,7047 -> 7046 -> 7018 -> 7017 -> 7016 -> 6739 -> 6738 -> 6737 -> nan
7067,13,7067 -> 7066 -> 7065 -> 7064 -> 7063 -> 7062 -> 7061 -> 7060 -> 7059 -> 7058 -> 7057 -> 7056 -> nan
7261,3,7261 -> 6744 -> nan
7280,34,7280 -> 7279 -> 7278 -> 7277 -> 7276 -> 7275 -> 7274 -> 7273 -> 7272 -> 7271 -> 7270 -> 7269 -> 7268 -> 7267 -> 7266 -> 7264 -> 7263 -> 7262 -> 7260 -> 7259 -> 7258 -> 7257 -> 7256 -> 7255 -> 7254 -> 7253 -> 7252 -> 7251 -> 7250 -> 7249 -> 7248 -> 7247 -> 6737 -> nan
7281,3,7281 -> 6990 -> nan
7119,29,7119 -> 7118 -> 7117 -> 7116 -> 7115 -> 7114 -> 7113 -> 7112 -> 7111 -> 7110 -> 7109 -> 7108 -> 7107 -> 7106 -> 7105 -> 7104 -> 7103 -> 7102 -> 7101 -> 7100 -> 7099 -> 7098 -> 7097 -> 7096 -> 6741 -> 6739 -> 6738 -> 6737 -> nan
7120,3,7120 -> 6744 -> nan
