id,time_taken
6552,[]
6553,[]
6562,[]
6563,[]
6564,[]
6568,[]
6569,[]
6586,[]
6672,[]
6701,[]
6750,[]
6797,"[datetime.timedelta(seconds=7, microseconds=239208)]"
6809,[]
6731,[]
6747,[]
6754,[]
6746,[]
6753,[]
6793,[]
6732,[]
6736,"[datetime.timedelta(seconds=25, microseconds=969640)]"
6740,[]
6764,[]
6794,"[datetime.timedelta(seconds=7, microseconds=239208), datetime.timedelta(seconds=59, microseconds=411171)]"
6954,[]
6956,[]
7005,[]
7034,[]
6971,"[datetime.timedelta(seconds=49, microseconds=911938), datetime.timedelta(seconds=113, microseconds=487926)]"
6946,[]
6973,[]
7092,"[datetime.timedelta(seconds=27, microseconds=279048), datetime.timedelta(seconds=11, microseconds=719042), datetime.timedelta(seconds=5, microseconds=163959), datetime.timedelta(seconds=6, microseconds=170123)]"
7002,"[datetime.timedelta(seconds=8, microseconds=190173), datetime.timedelta(seconds=6, microseconds=528636)]"
7007,[]
7045,"[datetime.timedelta(seconds=178, microseconds=332076)]"
7047,[]
7067,[]
7261,[]
7280,"[datetime.timedelta(seconds=32, microseconds=810446), datetime.timedelta(seconds=361, microseconds=439732), datetime.timedelta(seconds=72, microseconds=806931), datetime.timedelta(seconds=51, microseconds=592604), datetime.timedelta(seconds=7, microseconds=507270)]"
7281,[]
7119,"[datetime.timedelta(seconds=42, microseconds=61371), datetime.timedelta(seconds=8, microseconds=142129), datetime.timedelta(seconds=10, microseconds=801514)]"
7120,[]
7265,[]
7286,[]
7294,"[datetime.timedelta(seconds=8, microseconds=190173), datetime.timedelta(seconds=6, microseconds=528636)]"
7402,[]
7420,[]
7432,[]
7518,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7380,[]
7381,"[datetime.timedelta(seconds=36, microseconds=50610)]"
7453,"[datetime.timedelta(seconds=367, microseconds=410729), datetime.timedelta(seconds=9, microseconds=825561), datetime.timedelta(seconds=3, microseconds=691819)]"
7379,[]
7384,[]
7415,[]
7392,[]
7438,[]
7447,[]
7504,[]
7517,"[datetime.timedelta(seconds=38, microseconds=261285), datetime.timedelta(seconds=523, microseconds=889041)]"
7519,"[datetime.timedelta(seconds=8, microseconds=190173)]"
7646,[]
7753,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=497, microseconds=729597), datetime.timedelta(seconds=4294, microseconds=803149), datetime.timedelta(seconds=99, microseconds=231968), datetime.timedelta(seconds=29, microseconds=400469), datetime.timedelta(seconds=26, microseconds=477427), datetime.timedelta(seconds=13, microseconds=376560), datetime.timedelta(seconds=36, microseconds=775748), datetime.timedelta(seconds=12, microseconds=74952), datetime.timedelta(seconds=4, microseconds=338663), datetime.timedelta(seconds=11, microseconds=323350), datetime.timedelta(seconds=5, microseconds=22992)]"
7799,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=497, microseconds=729597), datetime.timedelta(seconds=4294, microseconds=803149), datetime.timedelta(seconds=99, microseconds=231968), datetime.timedelta(seconds=29, microseconds=400469), datetime.timedelta(seconds=26, microseconds=477427), datetime.timedelta(seconds=13, microseconds=376560)]"
7816,"[datetime.timedelta(seconds=7, microseconds=802968), datetime.timedelta(seconds=103, microseconds=332677), datetime.timedelta(seconds=15, microseconds=387474), datetime.timedelta(seconds=12, microseconds=559368), datetime.timedelta(seconds=216, microseconds=503395), datetime.timedelta(seconds=1755, microseconds=332020)]"
7691,[]
7692,[]
7698,[]
7796,"[datetime.timedelta(seconds=58, microseconds=46043), datetime.timedelta(seconds=552, microseconds=716081), datetime.timedelta(seconds=47, microseconds=653897), datetime.timedelta(seconds=62, microseconds=455194)]"
7814,"[datetime.timedelta(seconds=49, microseconds=911938), datetime.timedelta(seconds=113, microseconds=487926)]"
7817,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=497, microseconds=729597), datetime.timedelta(seconds=4294, microseconds=803149), datetime.timedelta(seconds=99, microseconds=231968), datetime.timedelta(seconds=29, microseconds=400469), datetime.timedelta(seconds=26, microseconds=477427), datetime.timedelta(seconds=13, microseconds=376560)]"
7605,"[datetime.timedelta(seconds=8, microseconds=190173), datetime.timedelta(seconds=6, microseconds=528636)]"
7693,"[datetime.timedelta(seconds=8, microseconds=190173), datetime.timedelta(seconds=6, microseconds=528636)]"
7696,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=177, microseconds=680740), datetime.timedelta(seconds=7, microseconds=579712), datetime.timedelta(seconds=217, microseconds=749081), datetime.timedelta(seconds=36, microseconds=415973), datetime.timedelta(seconds=278, microseconds=892013), datetime.timedelta(seconds=115, microseconds=402738), datetime.timedelta(seconds=20, microseconds=927708), datetime.timedelta(seconds=15, microseconds=713652), datetime.timedelta(seconds=60, microseconds=816875), datetime.timedelta(seconds=16, microseconds=407116)]"
7607,"[datetime.timedelta(seconds=282, microseconds=901159)]"
7769,"[datetime.timedelta(seconds=58, microseconds=46043), datetime.timedelta(seconds=552, microseconds=716081), datetime.timedelta(seconds=47, microseconds=653897)]"
7787,"[datetime.timedelta(seconds=58, microseconds=46043), datetime.timedelta(seconds=552, microseconds=716081), datetime.timedelta(seconds=47, microseconds=653897), datetime.timedelta(seconds=558, microseconds=850485)]"
7795,"[datetime.timedelta(seconds=58, microseconds=46043), datetime.timedelta(seconds=552, microseconds=716081), datetime.timedelta(seconds=47, microseconds=653897), datetime.timedelta(seconds=261, microseconds=461327)]"
7813,"[datetime.timedelta(seconds=49, microseconds=911938), datetime.timedelta(seconds=113, microseconds=487926)]"
7884,"[datetime.timedelta(seconds=49, microseconds=911938), datetime.timedelta(seconds=113, microseconds=487926)]"
7888,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7917,"[datetime.timedelta(seconds=12, microseconds=487253)]"
7971,[]
7810,"[datetime.timedelta(seconds=36, microseconds=50610), datetime.timedelta(seconds=497, microseconds=729597), datetime.timedelta(seconds=4294, microseconds=803149), datetime.timedelta(seconds=99, microseconds=231968), datetime.timedelta(seconds=29, microseconds=400469), datetime.timedelta(seconds=26, microseconds=477427), datetime.timedelta(seconds=13, microseconds=376560)]"
7818,"[datetime.timedelta(seconds=36, microseconds=50610)]"
7822,[]
7885,"[datetime.timedelta(seconds=49, microseconds=911938), datetime.timedelta(seconds=113, microseconds=487926)]"
7890,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7882,[]
7883,"[datetime.timedelta(seconds=49, microseconds=911938)]"
7886,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7889,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7891,"[datetime.timedelta(seconds=5, microseconds=363184)]"
7902,[]
7926,"[datetime.timedelta(seconds=8, microseconds=190173), datetime.timedelta(seconds=13, microseconds=445925)]"
7982,[]
