derivation_chain,status_chain,halstead_difficulty
"['6768', '6769']","['PARSEERROR', 'SAT']","[2.6666666666666665, 2.6666666666666665]"
"['6734', '6735']","['PARSEERROR', 'SAT']","[20.5625, 20.5625]"
"['6768', '6769']","['PARSEERROR', 'SAT']","[2.6666666666666665, 2.6666666666666665]"
"['6785', '6786', '6787']","['PARSEERROR', 'PARSEERROR', 'SAT']","[9.6, 9.6, 9.6]"
"['6957', '6958']","['PARSEERROR', 'SAT']","[14.399999999999999, 15.0]"
"['6960', '6961', '6962', '6963', '6964']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[18.125, 18.125, 18.125, 18.75, 20.3]"
"['7070', '7071']","['PARSEERROR', 'SAT']","[9.0, 10.0]"
"['7072', '7073']","['PARSEERROR', 'SAT']","[7.700000000000001, 11.700000000000001]"
"['7082', '7083']","['PARSEERROR', 'UNSAT']","[4.722222222222222, 5.666666666666666]"
"['7087', '7088']","['PARSEERROR', 'UNSAT']","[7.0, 7.0]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['6997', '6998']","['PARSEERROR', 'SAT']","[8.0, 9.333333333333334]"
"['7019', '7020']","['PARSEERROR', 'SAT']","[14.399999999999999, 16.200000000000003]"
"['7249', '7250']","['PARSEERROR', 'SAT']","[2.0, 2.6666666666666665]"
"['7252', '7253', '7254', '7255', '7256', '7257', '7258', '7259', '7260', '7262', '7263']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.583333333333333, 8.571428571428571, 8.571428571428571, 8.571428571428571, 8.571428571428571, 10.928571428571427, 11.2, 11.2, 11.2, 12.6, 10.5]"
"['7266', '7267', '7268']","['PARSEERROR', 'PARSEERROR', 'SAT']","[15.0, 15.0, 15.0]"
"['7270', '7271', '7272', '7273', '7274']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[15.0, 18.0, 14.4, 14.4, 12.6]"
"['7276', '7277']","['PARSEERROR', 'SAT']","[10.5, 12.6]"
"['7098', '7099', '7100', '7101']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665]"
"['7106', '7107']","['PARSEERROR', 'SAT']","[5.6, 5.6]"
"['7108', '7109']","['PARSEERROR', 'SAT']","[4.8999999999999995, 5.6]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['6997', '6998']","['PARSEERROR', 'SAT']","[8.0, 9.333333333333334]"
"['6975', '6976']","['PARSEERROR', 'SAT']","[14.142857142857144, 12.857142857142858]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7419', '7433', '7437']","['PARSEERROR', 'PARSEERROR', 'SAT']","[3.2142857142857144, 3.2142857142857144, 2.3333333333333335]"
"['7443', '7444']","['PARSEERROR', 'SAT']","[3.25, 3.25]"
"['7451', '7453']","['PARSEERROR', 'SAT']","[4.071428571428571, 4.071428571428571]"
"['7505', '7506', '7507']","['PARSEERROR', 'PARSEERROR', 'SAT']","[7.363636363636364, 8.1, 8.1]"
"['7508', '7509', '7510', '7511', '7512', '7513', '7514', '7515', '7516', '7517']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[12.375, 12.375, 15.5, 24.93333333333333, 24.93333333333333, 24.93333333333333, 24.571428571428573, 20.77777777777778, 23.375, 24.93333333333333]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7553', '7554', '7555', '7556', '7557', '7558', '7559', '7560', '7561', '7562', '7563', '7564', '7565', '7566']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.233333333333334, 7.700000000000001, 7.65625, 8.75, 9.0, 7.65625, 6.78125, 7.21875, 8.5, 8.5, 8.5, 6.766666666666667, 6.766666666666667, 6.0]"
"['7571', '7572']","['PARSEERROR', 'SAT']","[12.09375, 11.53125]"
"['7576', '7577', '7578', '7579', '7580']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[11.5, 12.176470588235295, 12.176470588235295, 13.823529411764707, 13.529411764705884]"
"['7582', '7583']","['PARSEERROR', 'SAT']","[17.794117647058822, 18.11764705882353]"
"['7591', '7592', '7593']","['PARSEERROR', 'PARSEERROR', 'SAT']","[26.0, 26.0, 26.0]"
"['7725', '7726']","['PARSEERROR', 'SAT']","[25.63888888888889, 24.916666666666668]"
"['7728', '7729']","['PARSEERROR', 'SAT']","[24.555555555555554, 24.916666666666668]"
"['7736', '7737']","['PARSEERROR', 'SAT']","[31.666666666666668, 31.666666666666668]"
"['7742', '7743']","['PARSEERROR', 'SAT']","[24.916666666666668, 24.916666666666668]"
"['7744', '7745']","['PARSEERROR', 'SAT']","[31.666666666666668, 31.666666666666668]"
"['7751', '7752']","['PARSEERROR', 'SAT']","[32.5, 32.5]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7553', '7554', '7555', '7556', '7557', '7558', '7559', '7560', '7561', '7562', '7563', '7564', '7565', '7566']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.233333333333334, 7.700000000000001, 7.65625, 8.75, 9.0, 7.65625, 6.78125, 7.21875, 8.5, 8.5, 8.5, 6.766666666666667, 6.766666666666667, 6.0]"
"['7571', '7572']","['PARSEERROR', 'SAT']","[12.09375, 11.53125]"
"['7576', '7577', '7578', '7579', '7580']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[11.5, 12.176470588235295, 12.176470588235295, 13.823529411764707, 13.529411764705884]"
"['7582', '7583']","['PARSEERROR', 'SAT']","[17.794117647058822, 18.11764705882353]"
"['7591', '7592', '7593']","['PARSEERROR', 'PARSEERROR', 'SAT']","[26.0, 26.0, 26.0]"
"['7725', '7726']","['PARSEERROR', 'SAT']","[25.63888888888889, 24.916666666666668]"
"['7624', '7625']","['PARSEERROR', 'SAT']","[1.5, 1.5]"
"['7627', '7628', '7629']","['PARSEERROR', 'PARSEERROR', 'SAT']","[4.7727272727272725, 4.7727272727272725, 5.818181818181818]"
"['7651', '7652']","['PARSEERROR', 'SAT']","[6.576923076923077, 6.954545454545454]"
"['7666', '7667']","['PARSEERROR', 'SAT']","[6.46875, 3.3928571428571432]"
"['7668', '7671', '7673', '7676', '7677']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[6.300000000000001, 4.875, 4.875, 4.875, 6.9]"
"['7684', '7685', '7686', '7687', '7688', '7689']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[3.75, 4.166666666666667, 3.333333333333333, 3.333333333333333, 3.333333333333333, 2.6666666666666665]"
"['7699', '7700']","['PARSEERROR', 'SAT']","[4.5, 4.714285714285714]"
"['7702', '7703', '7704']","['PARSEERROR', 'PARSEERROR', 'SAT']","[14.333333333333332, 13.363636363636363, 14.36842105263158]"
"['7714', '7715', '7716']","['PARSEERROR', 'PARSEERROR', 'SAT']","[18.25925925925926, 18.25925925925926, 18.634615384615387]"
"['7755', '7756']","['PARSEERROR', 'UNSAT']","[17.0, 18.634615384615387]"
"['6957', '6958']","['PARSEERROR', 'SAT']","[14.399999999999999, 15.0]"
"['6960', '6961', '6962', '6963', '6964']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[18.125, 18.125, 18.125, 18.75, 20.3]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7553', '7554', '7555', '7556', '7557', '7558', '7559', '7560', '7561', '7562', '7563', '7564', '7565', '7566']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.233333333333334, 7.700000000000001, 7.65625, 8.75, 9.0, 7.65625, 6.78125, 7.21875, 8.5, 8.5, 8.5, 6.766666666666667, 6.766666666666667, 6.0]"
"['7571', '7572']","['PARSEERROR', 'SAT']","[12.09375, 11.53125]"
"['7576', '7577', '7578', '7579', '7580']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[11.5, 12.176470588235295, 12.176470588235295, 13.823529411764707, 13.529411764705884]"
"['7582', '7583']","['PARSEERROR', 'SAT']","[17.794117647058822, 18.11764705882353]"
"['7591', '7592', '7593']","['PARSEERROR', 'PARSEERROR', 'SAT']","[26.0, 26.0, 26.0]"
"['7725', '7726']","['PARSEERROR', 'SAT']","[25.63888888888889, 24.916666666666668]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['6997', '6998']","['PARSEERROR', 'SAT']","[8.0, 9.333333333333334]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['6997', '6998']","['PARSEERROR', 'SAT']","[8.0, 9.333333333333334]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7632', '7633']","['PARSEERROR', 'SAT']","[6.214285714285715, 6.0]"
"['7637', '7638']","['PARSEERROR', 'SAT']","[10.133333333333333, 12.0]"
"['7639', '7640', '7641', '7642']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[13.2, 13.2, 14.375, 15.333333333333334]"
"['7645', '7647']","['PARSEERROR', 'SAT']","[20.0, 20.0]"
"['7648', '7649', '7650', '7653', '7654']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.4, 22.4, 22.4, 22.125, 24.266666666666666]"
"['7656', '7657', '7658']","['PARSEERROR', 'PARSEERROR', 'SAT']","[22.34375, 22.34375, 22.4]"
"['7661', '7662']","['PARSEERROR', 'SAT']","[24.0, 24.0]"
"['7669', '7670']","['PARSEERROR', 'SAT']","[28.875, 27.75]"
"['7672', '7674', '7675']","['PARSEERROR', 'PARSEERROR', 'SAT']","[29.6, 30.4, 30.4]"
"['7680', '7681', '7682']","['PARSEERROR', 'PARSEERROR', 'SAT']","[32.5, 32.5, 32.09375]"
"['7469', '7470']","['PARSEERROR', 'SAT']","[9.0, 10.0]"
"['7699', '7700']","['PARSEERROR', 'SAT']","[4.5, 4.714285714285714]"
"['7702', '7703', '7704']","['PARSEERROR', 'PARSEERROR', 'SAT']","[14.333333333333332, 13.363636363636363, 14.36842105263158]"
"['7714', '7715', '7716']","['PARSEERROR', 'PARSEERROR', 'SAT']","[18.25925925925926, 18.25925925925926, 18.634615384615387]"
"['7699', '7700']","['PARSEERROR', 'SAT']","[4.5, 4.714285714285714]"
"['7702', '7703', '7704']","['PARSEERROR', 'PARSEERROR', 'SAT']","[14.333333333333332, 13.363636363636363, 14.36842105263158]"
"['7714', '7715', '7716']","['PARSEERROR', 'PARSEERROR', 'SAT']","[18.25925925925926, 18.25925925925926, 18.634615384615387]"
"['7779', '7780', '7781']","['PARSEERROR', 'PARSEERROR', 'SAT']","[19.03846153846154, 19.285714285714285, 19.92857142857143]"
"['7699', '7700']","['PARSEERROR', 'SAT']","[4.5, 4.714285714285714]"
"['7702', '7703', '7704']","['PARSEERROR', 'PARSEERROR', 'SAT']","[14.333333333333332, 13.363636363636363, 14.36842105263158]"
"['7714', '7715', '7716']","['PARSEERROR', 'PARSEERROR', 'SAT']","[18.25925925925926, 18.25925925925926, 18.634615384615387]"
"['7790', '7791', '7792', '7793']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[15.616279069767442, 15.616279069767442, 14.55084745762712, 15.058823529411764]"
"['6957', '6958']","['PARSEERROR', 'SAT']","[14.399999999999999, 15.0]"
"['6960', '6961', '6962', '6963', '6964']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[18.125, 18.125, 18.125, 18.75, 20.3]"
"['6957', '6958']","['PARSEERROR', 'SAT']","[14.399999999999999, 15.0]"
"['6960', '6961', '6962', '6963', '6964']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[18.125, 18.125, 18.125, 18.75, 20.3]"
"['6975', '6976']","['PARSEERROR', 'SAT']","[14.142857142857144, 12.857142857142858]"
"['7914', '7915']","['PARSEERROR', 'SAT']","[17.1875, 18.75]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7553', '7554', '7555', '7556', '7557', '7558', '7559', '7560', '7561', '7562', '7563', '7564', '7565', '7566']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.233333333333334, 7.700000000000001, 7.65625, 8.75, 9.0, 7.65625, 6.78125, 7.21875, 8.5, 8.5, 8.5, 6.766666666666667, 6.766666666666667, 6.0]"
"['7571', '7572']","['PARSEERROR', 'SAT']","[12.09375, 11.53125]"
