id,parseerror_distances,not_parseerror_distances
6552,[],[]
6553,[],[]
6562,[],[]
6563,[],[]
6564,[],[]
6568,[],"[21, 0]"
6569,[],[]
6586,[],[]
6672,[],[]
6701,[],[1]
6750,[],"[614, 171, 332, 32, 13, 51]"
6797,[],"[24, 22, 0, 0, 14, 15, 8, 25, 0, 31, 22, 5, 0, 0, 0, 0]"
6809,[],"[106, 6, 28, 12, 21, 44, 17, 1, 6, 7]"
6731,[],[1]
6747,[],"[614, 171, 332, 0]"
6754,[],"[1, 0]"
6746,[],[]
6753,[],[1]
6793,[],"[614, 171, 0, 6, 2, 1, 1]"
6732,[],[]
6736,[],[0]
6740,[],"[614, 171, 0]"
6764,[],"[501, 2, 17, 6, 8, 15, 6, 29, 2, 1]"
6794,[0],"[24, 22, 0, 0, 14, 15, 8, 25, 0, 31, 22, 5, 0, 5, 20, 52, 3, 2, 18, 7]"
6954,[],"[1, 54, 52, 0, 0, 0, 0, 0]"
6956,[],"[1, 0]"
7005,[],"[1, 1]"
7034,[],"[614, 171, 332, 0, 26, 30, 4, 2, 79, 6, 9, 23, 33]"
6971,"[1, 2, 7]","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
6946,[],[]
6973,[],[20]
7092,[],"[26, 3, 1, 2, 1, 15, 1, 119, 1, 1, 1, 1, 66, 1, 6]"
7002,[],"[13, 48, 8, 8, 2, 8, 1, 0]"
7007,[],[1]
7045,[],"[5, 53, 2, 4, 2, 2, 2, 2, 0, 2, 2, 1, 1, 51, 89, 4, 4, 4, 8, 8, 2, 119, 0, 1]"
7047,[],"[614, 171, 0, 7, 2, 0, 0]"
7067,[],"[2, 2, 153, 30, 158, 14, 8, 6, 3, 5, 61]"
7261,[],[1]
7280,"[14, 2, 1, 2, 18, 26, 20, 2, 26, 4, 4, 18, 1]","[1205, 14, 23, 1, 1, 12, 3, 4, 3]"
7281,[],[2]
7119,"[1, 1]","[614, 171, 332, 0, 9, 6, 22, 8, 5, 5, 47, 4, 23, 46, 5, 37, 29, 29, 61]"
7120,[],[1]
7265,[],[1]
7286,[],"[2, 2, 153, 30, 242, 602, 0]"
7294,[],"[13, 48, 8, 8, 2, 8, 1, 0]"
7402,[],"[614, 171, 0, 8, 2, 2, 8]"
7420,[],"[1, 8, 1041, 3, 4, 3, 390]"
7432,[],"[1, 505, 2, 240]"
7518,[],"[61, 2, 4, 0]"
7380,[],"[2, 2, 0]"
7381,[],"[30, 173, 49, 575, 0, 0, 150, 8, 0]"
7453,[35],"[2, 2, 5, 94]"
7379,[],"[2, 2, 153, 30, 242, 602, 0, 50, 4]"
7384,[],"[2, 2, 0]"
7415,[],[1]
7392,[],"[614, 171, 0]"
7438,[17],[65]
7447,[],[1]
7504,[],[1]
7517,"[1, 3, 34, 166, 3, 96, 5, 184, 16]","[2, 2, 0, 55, 68, 1, 0, 84]"
7519,[],"[13, 48, 8, 8, 0]"
7646,[],[1]
7753,"[7, 20, 5, 6, 5, 27, 6, 5, 0, 1, 30, 0, 1, 1, 5, 1]","[30, 173, 49, 575, 0, 0, 150, 8, 46, 29, 6, 45, 4, 48, 4, 3, 12, 0, 78, 3, 6, 20, 20, 12, 0, 22, 23, 10, 19, 34, 1, 0, 20, 4, 6, 3, 15, 48, 47, 3, 13, 3, 7, 0, 15, 0, 3]"
7799,"[7, 20, 5, 6, 5, 27, 6, 5, 0, 1, 30, 0, 1, 1, 5, 1]","[30, 173, 49, 575, 0, 0, 150, 8, 46, 29, 6, 45, 4, 48, 4, 3, 12, 0, 78, 3, 6, 20, 20, 12, 0, 22, 23, 10, 19, 34, 1, 1280, 0]"
7816,"[7, 86, 0, 2, 31, 44, 1, 3]","[2, 2, 4, 12, 4, 845, 749, 0, 7, 6, 1, 0, 6, 39, 0, 0]"
7691,[],"[1, 0]"
7692,[],[1]
7698,[671],"[2, 2]"
7796,"[34, 1, 0, 0]","[2, 2, 195, 147, 96, 83, 0, 186, 0, 206, 130, 295, 84, 0, 60, 0, 877, 0, 1, 1, 3, 3, 0, 6]"
7814,"[1, 2, 7]","[1, 0, 0, 0]"
7817,"[7, 20, 5, 6, 5, 27, 6, 5, 0, 1, 30, 0, 1, 1, 5, 1]","[30, 173, 49, 575, 0, 0, 150, 8, 46, 29, 6, 45, 4, 48, 4, 3, 12, 0, 78, 3, 6, 20, 20, 12, 0, 22, 23, 10, 19, 34, 1, 211, 419, 264, 0]"
7605,[],"[13, 48, 8, 8, 2, 8, 1, 0]"
7693,[],"[13, 48, 8, 8, 2, 8, 1, 0]"
7696,"[1, 20, 4, 8, 10, 0, 10, 0]","[30, 173, 49, 575, 0, 0, 150, 8, 0, 27, 23, 36, 2, 1, 13, 0, 3, 47, 7, 3, 23, 19, 53, 19]"
7607,"[1, 1, 120]","[65, 22, 97, 84, 71, 27, 85, 84, 635, 6, 605, 5]"
7769,"[34, 1, 8, 9]","[2, 2, 195, 147, 96, 83, 0, 186, 0, 206, 130, 295, 84, 0, 60, 0]"
7787,"[34, 1, 48]","[2, 2, 195, 147, 96, 83, 0, 186, 0, 206, 130, 295, 84, 0, 60, 0, 10, 0, 6, 12, 0, 0, 17, 0, 0, 3, 21, 56, 0, 0, 13]"
7795,"[34, 1, 0, 805]","[2, 2, 195, 147, 96, 83, 0, 186, 0, 206, 130, 295, 84, 0, 60, 0, 46, 0, 0, 0]"
7813,"[1, 2, 7]","[1, 0, 0, 0]"
7884,"[1, 2, 7]","[1, 0, 0, 0]"
7888,[],"[61, 2, 4, 3, 0]"
7917,[],"[1, 7, 18, 19, 19, 0, 31, 127, 3]"
7971,"[0, 3]",[]
7810,"[7, 20, 5, 6, 5, 27, 6, 5, 0, 1, 30, 0, 1, 1, 5, 1]","[30, 173, 49, 575, 0, 0, 150, 8, 46, 29, 6, 45, 4, 48, 4, 3, 12, 0, 78, 3, 6, 20, 20, 12, 0, 22, 23, 10, 19, 34, 1, 52, 57]"
7818,[],"[30, 173, 49, 575, 0, 0, 150, 8]"
7822,[],"[614, 171, 0, 331]"
7885,"[1, 2, 7]","[1, 0, 0, 0]"
7890,[],"[61, 2, 4, 3, 3, 1, 0]"
7882,[],[1]
7883,[],"[1, 0, 10]"
7886,[],"[61, 2, 0]"
7889,[],"[61, 2, 4, 3, 3, 0]"
7891,[],"[61, 2, 4, 3, 0]"
7902,[],"[1, 1]"
7926,[],"[13, 48, 8, 8, 0, 13, 10, 68, 5, 14, 40, 2, 22, 20, 1]"
7982,[],"[2, 2, 1314, 0]"
8043,"[0, 1073, 0, 9, 9, 55, 52, 501, 0, 141, 24, 0]","[2, 2, 0, 960, 0, 0, 0, 623, 0]"
7880,"[19, 14]",[]
7887,[],"[61, 2, 4, 0]"
7895,[],"[13, 48, 8, 8, 0]"
7901,[],"[1, 1]"
