id,parseerror_fix_steps,unsat_to_sat_steps
6552,[],[]
6553,[],[]
6562,[],[]
6563,[],[]
6564,[],[]
6568,[],[]
6569,[],[]
6586,[],[]
6672,[],[]
6701,[],[]
6750,[],[]
6797,[1],[]
6809,[],[]
6731,[],[]
6747,[],[]
6754,[],[]
6746,[],[]
6753,[],[]
6793,[],[]
6732,[],[]
6736,[1],[]
6740,[],[]
6764,[],[]
6794,"[1, 2]",[]
6954,[],[]
6956,[],[]
7005,[],[]
7034,[],[1]
6971,"[1, 4]",[]
6946,[],[]
6973,[],[]
7092,"[1, 1, 1, 1]","[1, 1, 1, 3, 1, 1]"
7002,"[1, 1]",[]
7007,[],[]
7045,[1],"[1, 1]"
7047,[],[]
7067,[],[1]
7261,[],[]
7280,"[1, 10, 2, 4, 1]",[]
7281,[],[]
7119,"[3, 1, 1]",[]
7120,[],[]
7265,[],[]
7286,[],[]
7294,"[1, 1]",[]
7402,[],[]
7420,[],[]
7432,[],[]
7518,[1],[]
7380,[],[]
7381,[1],[]
7453,"[2, 1, 1]",[]
7379,[],[]
7384,[],[]
7415,[],[]
7392,[],[]
7438,[],[]
7447,[],[]
7504,[],[]
7517,"[2, 9]",[]
7519,[1],[]
7646,[],[]
7753,"[1, 13, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1]",[]
7799,"[1, 13, 1, 4, 1, 2, 1]",[1]
7816,"[1, 2, 1, 1, 4, 5]","[1, 1]"
7691,[],[]
7692,[],[]
7698,[],[]
7796,"[1, 2, 2, 1]","[1, 1, 1]"
7814,"[1, 4]",[]
7817,"[1, 13, 1, 4, 1, 2, 1]",[]
7605,"[1, 1]",[]
7693,"[1, 1]",[]
7696,"[1, 1, 1, 3, 1, 4, 2, 1, 1, 2, 2]",[]
7607,[1],"[1, 1]"
7769,"[1, 2, 2]","[1, 1, 1]"
7787,"[1, 2, 2, 2]","[1, 1, 1, 1, 1, 3, 1]"
7795,"[1, 2, 2, 3]","[1, 1, 1]"
7813,"[1, 4]",[]
7884,"[1, 4]",[]
7888,[1],[]
7917,[1],[]
7971,[],[]
7810,"[1, 13, 1, 4, 1, 2, 1]",[]
7818,[1],[]
7822,[],[]
7885,"[1, 4]",[]
7890,[1],[]
7882,[],[]
7883,[1],[]
7886,[1],[]
7889,[1],[]
7891,[1],[]
7902,[],[]
7926,"[1, 1]","[1, 1]"
7982,[],[]
8043,"[1, 2]",[]
7880,[],[]
7887,[1],[]
7895,[1],[]
7901,[],[]
7905,[],[]
7930,[2],[1]
8039,[1],[]
8030,"[3, 1, 4, 4]","[2, 1, 1, 5, 5]"
8052,"[1, 2, 2, 1, 2, 1]","[1, 1, 1]"
8098,[],[]
8101,[],[]
8127,[],[]
8136,[],[]
8147,[1],[]
8173,"[1, 1, 1, 3, 1, 4, 2, 1, 1, 2, 2]",[]
8178,"[1, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 2, 1, 1, 1]"
8233,[],[]
8412,"[1, 3]",[]
8131,[3],[]
8145,[],[]
8152,[],[]
8170,[],[]
8213,[],[]
8232,[],[]
8234,[1],[]
8237,[],[]
8302,"[4, 1]",[]
8150,[],[]
8214,[],[]
8218,[],[]
8135,[],[]
8151,[],[]
8293,[],[]
8353,"[1, 2]",[]
8363,"[4, 8, 1]",[]
8331,[12],[]
8430,[15],[]
8391,[],[1]
8454,"[4, 8, 1]",[]
8467,[],[]
8477,[],"[1, 1, 1]"
8508,[],[]
8518,"[3, 3, 1, 1, 3, 1, 1]","[1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 10, 8, 1, 1, 3, 1, 1]"
8530,[6],[1]
8389,"[4, 8, 1]",[]
8392,"[4, 8, 1]",[]
8436,"[1, 4]",[]
8445,"[4, 8, 1]",[]
8462,[],[]
8483,"[4, 8, 1, 1]",[]
8492,[],[]
8500,"[1, 1]",[]
8501,"[4, 8, 1, 1]",[]
8503,"[1, 2, 1, 1, 4, 5]","[1, 1]"
8448,"[4, 8, 1]",[]
8488,[16],[1]
8491,"[1, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 2, 1, 1, 1]"
8569,"[4, 8, 1, 1, 2]",[]
8632,"[4, 2, 1]",[]
8636,"[7, 1, 1, 1, 1, 1, 5, 1]",[]
8647,[1],[]
8673,"[4, 8, 1]",[]
8750,[2],[]
8672,"[4, 8, 1]",[]
8687,"[1, 1]",[1]
8895,"[1, 9, 2, 3, 2, 3, 2, 4, 15, 1, 1, 1]","[3, 1, 1, 1, 1]"
8941,[2],[]
8966,"[1, 1, 1, 1]",[]
9021,[1],[]
9119,"[1, 1]",[1]
9017,"[7, 1, 4, 1, 2, 1, 3, 1, 3, 2, 1, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 2, 1, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
9026,[],[]
9028,[],[]
9252,[2],[]
9452,[9],[]
9024,[],[1]
9058,"[1, 1, 1, 1, 1]","[2, 1]"
9094,[],[]
9221,[1],[]
9018,[1],[]
9019,[1],[]
9020,"[1, 4]",[]
9054,[],[]
9079,[],[]
9095,[],[]
9111,[1],[]
9223,[],[]
9441,[1],[]
9244,[],[]
9254,[3],[]
9296,"[1, 1, 1, 1, 1, 1]",[]
9247,"[2, 30, 1]","[1, 3, 1, 1, 1]"
9322,"[1, 3, 5, 1, 9]",[]
9335,"[4, 5]",[]
9336,[],[]
9345,"[1, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 2, 1, 1]"
9382,[],[]
9383,[],[]
9384,[],[]
9462,[1],[1]
9463,[],[]
9267,"[2, 30, 1, 6]","[1, 3, 1, 1, 1, 1, 1]"
9481,[12],[]
9490,"[1, 4]",[]
9486,"[1, 13, 1, 4, 1, 2, 1]",[]
9488,"[1, 9]",[]
9491,"[6, 4]",[]
9549,"[1, 1]","[1, 1]"
9551,[3],[]
9483,[],[]
9512,[],[]
9527,"[1, 1]",[]
9482,"[3, 1, 1, 2]",[]
9500,[],[]
9501,[],[]
9521,[3],[]
9523,[],[]
9525,[],[]
9528,[],[]
9541,[1],[]
9545,[],[]
9574,[],[]
9507,[],[]
9548,[],[]
9577,[3],[]
13223,[],[]
13233,[1],[]
13307,[],[]
10838,[],[]
10935,[],[]
10970,[1],[]
11150,[1],[]
11042,"[4, 3]",[]
11165,[1],[]
11013,[2],[]
11017,[],[]
11025,[],[]
11045,"[4, 3]","[19, 12, 8, 1]"
11154,[],[]
10999,"[1, 1, 1]",[]
11007,[2],[]
11041,"[4, 3]",[]
11347,[],[]
11872,[],[]
11873,[],[]
12022,[],[]
13286,"[4, 2, 1, 4]",[]
13320,[],[]
13337,"[4, 1, 2]",[]
11995,[],[]
13346,"[3, 1]","[1, 1]"
