id,time_taken
6552,[]
6553,[]
6562,[]
6563,[]
6564,[]
6568,[]
6569,[]
6586,[]
6672,[]
6701,[]
6750,[]
6797,[]
6809,[]
6731,[]
6747,[]
6754,[]
6746,[]
6753,[]
6793,[]
6732,[]
6736,[]
6740,[]
6764,[]
6794,[]
6954,[]
6956,[]
7005,[]
7034,"[datetime.timedelta(seconds=42, microseconds=52873)]"
6971,[]
6946,[]
6973,[]
7092,"[datetime.timedelta(seconds=16, microseconds=272302), datetime.timedelta(seconds=211, microseconds=593738), datetime.timedelta(seconds=4, microseconds=285967), datetime.timedelta(seconds=35, microseconds=13371), datetime.timedelta(seconds=4, microseconds=659330), datetime.timedelta(seconds=11, microseconds=658483)]"
7002,[]
7007,[]
7045,"[datetime.timedelta(seconds=33, microseconds=92576), datetime.timedelta(seconds=75, microseconds=164022)]"
7047,[]
7067,"[datetime.timedelta(seconds=25, microseconds=988080)]"
7261,[]
7280,[]
7281,[]
7119,[]
7120,[]
7265,[]
7286,[]
7294,[]
7402,[]
7420,[]
7432,[]
7518,[]
7380,[]
7381,[]
7453,[]
7379,[]
7384,[]
7415,[]
7392,[]
7438,[]
7447,[]
7504,[]
7517,[]
7519,[]
7646,[]
7753,[]
7799,"[datetime.timedelta(seconds=4, microseconds=500722)]"
7816,"[datetime.timedelta(seconds=2, microseconds=350315), datetime.timedelta(seconds=50633, microseconds=60772)]"
7691,[]
7692,[]
7698,[]
7796,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566), datetime.timedelta(seconds=817, microseconds=449894)]"
7814,[]
7817,[]
7605,[]
7693,[]
7696,[]
7607,"[datetime.timedelta(seconds=102, microseconds=407585), datetime.timedelta(seconds=76495, microseconds=636845), datetime.timedelta(seconds=106, microseconds=607455)]"
7769,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566)]"
7787,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566), datetime.timedelta(seconds=2, microseconds=800300), datetime.timedelta(seconds=2, microseconds=185297), datetime.timedelta(seconds=12, microseconds=135319), datetime.timedelta(seconds=2, microseconds=835670)]"
7795,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566), datetime.timedelta(seconds=15, microseconds=618903)]"
7813,[]
7884,[]
7888,[]
7917,[]
7971,[]
7810,[]
7818,[]
7822,[]
7885,[]
7890,[]
7882,[]
7883,[]
7886,[]
7889,[]
7891,[]
7902,[]
7926,"[datetime.timedelta(seconds=91, microseconds=422598), datetime.timedelta(seconds=87, microseconds=714634)]"
7982,[]
8043,[]
7880,[]
7887,[]
7895,[]
7901,[]
7905,[]
7930,"[datetime.timedelta(seconds=37760, microseconds=993354)]"
8039,[]
8030,"[datetime.timedelta(seconds=20, microseconds=892908), datetime.timedelta(seconds=45, microseconds=490101), datetime.timedelta(seconds=39, microseconds=626002), datetime.timedelta(seconds=126, microseconds=853287), datetime.timedelta(seconds=41, microseconds=568461)]"
8052,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566)]"
8098,[]
8101,[]
8127,[]
8136,[]
8147,[]
8173,[]
8178,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566), datetime.timedelta(seconds=3, microseconds=105005), datetime.timedelta(seconds=3, microseconds=216357), datetime.timedelta(seconds=3, microseconds=909825), datetime.timedelta(seconds=4, microseconds=149289), datetime.timedelta(seconds=59, microseconds=896264), datetime.timedelta(seconds=2, microseconds=469440)]"
8233,[]
8412,[]
8131,[]
8145,"[datetime.timedelta(seconds=1546, microseconds=638794)]"
8152,[]
8170,[]
8213,[]
8232,[]
8234,[]
8237,[]
8302,[]
8150,[]
8214,[]
8218,[]
8135,[]
8151,[]
8293,[]
8353,[]
8363,[]
8331,[]
8430,"[datetime.timedelta(seconds=239, microseconds=928369)]"
8391,"[datetime.timedelta(seconds=22659, microseconds=363056)]"
8454,[]
8467,[]
8477,"[datetime.timedelta(seconds=17, microseconds=204776), datetime.timedelta(seconds=69, microseconds=985397), datetime.timedelta(seconds=2, microseconds=722567)]"
8508,[]
8518,"[datetime.timedelta(seconds=84, microseconds=841502), datetime.timedelta(seconds=16, microseconds=457149), datetime.timedelta(seconds=26, microseconds=54674), datetime.timedelta(seconds=114, microseconds=755364), datetime.timedelta(seconds=232, microseconds=924549), datetime.timedelta(seconds=123, microseconds=755419), datetime.timedelta(seconds=111, microseconds=174870), datetime.timedelta(seconds=4, microseconds=956424), datetime.timedelta(seconds=70632, microseconds=125455), datetime.timedelta(seconds=177, microseconds=686445), datetime.timedelta(seconds=61, microseconds=201239), datetime.timedelta(seconds=344, microseconds=264469), datetime.timedelta(seconds=105, microseconds=99544), datetime.timedelta(seconds=30, microseconds=498742), datetime.timedelta(seconds=155, microseconds=542347), datetime.timedelta(seconds=79, microseconds=870648), datetime.timedelta(seconds=7, microseconds=380965)]"
8530,"[datetime.timedelta(seconds=8, microseconds=369251)]"
8389,[]
8392,[]
8436,[]
8445,[]
8462,[]
8483,[]
8492,[]
8500,[]
8501,[]
8503,"[datetime.timedelta(seconds=2, microseconds=350315), datetime.timedelta(days=4, seconds=18095, microseconds=492322)]"
8448,[]
8488,"[datetime.timedelta(seconds=3, microseconds=138545)]"
8491,"[datetime.timedelta(seconds=3, microseconds=295171), datetime.timedelta(seconds=369, microseconds=560121), datetime.timedelta(seconds=231, microseconds=84566), datetime.timedelta(seconds=3, microseconds=105005), datetime.timedelta(seconds=3, microseconds=216357), datetime.timedelta(seconds=3, microseconds=909825), datetime.timedelta(seconds=4, microseconds=149289), datetime.timedelta(seconds=59, microseconds=896264), datetime.timedelta(seconds=216, microseconds=353192)]"
8569,[]
8632,[]
8636,[]
8647,[]
8673,[]
8750,[]
8672,[]
8687,"[datetime.timedelta(seconds=5, microseconds=78489)]"
8895,"[datetime.timedelta(seconds=94, microseconds=902433), datetime.timedelta(seconds=12038, microseconds=15413), datetime.timedelta(seconds=8, microseconds=867572), datetime.timedelta(seconds=3, microseconds=518334), datetime.timedelta(seconds=2928, microseconds=819777)]"
8941,[]
8966,[]
9021,[]
9119,"[datetime.timedelta(seconds=7, microseconds=456765), datetime.timedelta(seconds=15, microseconds=386693), datetime.timedelta(seconds=1, microseconds=480152)]"
